date,open,high,low,close,volume,is_trading_day
2016-06-13 07:00:00,3.0,3.05,2.98,3.01,138648,1
2016-06-14 07:00:00,3.01,3.05,3.0,3.03,113252,1
2016-06-15 07:00:00,3.03,3.03,3.01,3.03,51430,1
2016-06-16 07:00:00,3.03,3.05,3.01,3.03,135735,1
2016-06-17 07:00:00,3.01,3.03,3.01,3.03,118867,1
2016-06-20 07:00:00,3.01,3.05,3.01,3.05,49716,1
2016-06-21 07:00:00,3.03,3.05,3.01,3.05,130676,1
2016-06-22 07:00:00,3.01,3.05,3.01,3.05,108886,1
2016-06-23 07:00:00,3.01,3.05,3.01,3.05,62511,1
2016-06-24 07:00:00,3.01,3.05,2.86,3.05,153703,1
2016-06-27 07:00:00,2.92,3.03,2.92,3.03,102503,1
2016-06-28 07:00:00,2.95,3.01,2.95,3.01,18644,1
2016-06-29 07:00:00,2.97,3.01,2.97,3.01,65672,1
2016-06-30 07:00:00,3.01,3.01,2.98,3.01,20698,1
2016-07-01 07:00:00,2.97,3.01,2.95,3.01,160733,1
2016-07-04 07:00:00,2.97,2.97,2.92,2.94,289840,1
2016-07-05 07:00:00,2.94,2.97,2.9,2.94,224536,1
2016-07-06 07:00:00,2.94,2.94,2.9,2.94,119879,1
2016-07-07 07:00:00,2.94,3.0,2.94,2.97,46124,1
2016-07-08 07:00:00,2.97,2.97,2.94,2.97,213318,1
2016-07-11 07:00:00,2.95,2.97,2.94,2.94,256181,1
2016-07-12 07:00:00,2.94,2.94,2.9,2.94,26771,1
2016-07-13 07:00:00,2.95,3.08,2.94,3.01,437147,1
2016-07-14 07:00:00,3.01,3.09,3.01,3.01,855293,1
2016-07-15 07:00:00,3.06,3.06,3.0,3.01,218899,1
2016-07-18 07:00:00,2.97,3.0,2.94,3.0,59135,1
2016-07-19 07:00:00,3.0,3.0,2.87,2.94,465733,1
2016-07-20 07:00:00,2.94,2.94,2.9,2.94,109114,1
2016-07-21 07:00:00,2.95,2.97,2.9,2.9,115206,1
2016-07-22 07:00:00,2.9,2.9,2.87,2.87,70617,1
2016-07-25 07:00:00,2.87,2.9,2.86,2.87,73600,1
2016-07-26 07:00:00,2.87,2.89,2.84,2.84,143345,1
2016-07-27 07:00:00,2.84,2.87,2.84,2.84,59291,1
2016-07-28 07:00:00,2.86,2.86,2.82,2.84,33402,1
2016-07-29 07:00:00,2.82,2.87,2.82,2.87,138157,1
