date,open,high,low,close,volume,is_trading_day
2015-11-26 07:00:00,10.99,11.04,10.74,10.84,2465300,1
2015-11-27 07:00:00,10.89,10.89,10.64,10.69,1031890,1
2015-11-30 07:00:00,10.54,10.54,10.09,10.24,1245420,1
2015-12-01 07:00:00,10.19,10.44,10.14,10.39,798460,1
2015-12-02 07:00:00,10.44,10.89,10.44,10.64,1343120,1
2015-12-03 07:00:00,10.74,10.74,10.64,10.69,903160,1
2015-12-04 07:00:00,10.59,10.64,10.44,10.44,580460,1
2015-12-07 07:00:00,10.29,10.44,10.24,10.29,615120,1
2015-12-08 07:00:00,10.19,10.54,10.14,10.54,859320,1
2015-12-09 07:00:00,10.64,10.64,10.34,10.34,317220,1
2015-12-10 07:00:00,10.19,10.34,10.14,10.19,685510,1
2015-12-11 07:00:00,10.14,10.24,10.09,10.09,938690,1
2015-12-14 07:00:00,10.04,10.24,9.99,10.04,479600,1
2015-12-15 07:00:00,10.04,10.19,9.94,10.04,1710810,1
2015-12-16 07:00:00,10.04,10.44,10.04,10.34,6453910,1
2015-12-17 07:00:00,10.64,10.94,10.64,10.79,1962310,1
2015-12-18 07:00:00,10.59,10.79,10.59,10.69,1297640,1
2015-12-21 07:00:00,10.49,10.54,10.34,10.39,2292130,1
2015-12-22 07:00:00,10.39,10.69,10.34,10.49,1438220,1
2015-12-23 07:00:00,10.49,10.64,10.39,10.39,660920,1
2015-12-24 07:00:00,10.49,10.49,10.29,10.29,625710,1
2015-12-25 07:00:00,10.29,10.44,10.24,10.24,1179440,1
2015-12-28 07:00:00,10.24,10.29,10.04,10.14,1567150,1
2015-12-29 07:00:00,10.19,10.39,10.09,10.39,979430,1
2015-12-30 07:00:00,10.39,10.59,10.39,10.44,1242400,1
2015-12-31 07:00:00,10.39,10.49,10.29,10.34,1000490,1
2016-01-04 07:00:00,10.34,10.44,10.14,10.14,1019270,1
2016-01-05 07:00:00,10.09,10.24,10.04,10.09,1104280,1
2016-01-06 07:00:00,10.04,10.19,10.04,10.14,895200,1
2016-01-07 07:00:00,10.09,10.14,9.54,9.69,2583350,1
2016-01-08 07:00:00,9.69,9.69,9.19,9.44,1217770,1
2016-01-11 07:00:00,9.54,9.69,9.49,9.54,902550,1
2016-01-12 07:00:00,9.54,9.69,9.54,9.69,615630,1
2016-01-13 07:00:00,9.74,9.79,9.49,9.54,528540,1
2016-01-14 07:00:00,9.44,9.49,9.24,9.29,1115000,1
2016-01-15 07:00:00,9.29,9.44,8.93,8.93,1334000,1
2016-01-18 07:00:00,8.73,8.73,8.33,8.33,3664530,1
2016-01-19 07:00:00,8.33,8.63,8.33,8.58,1606710,1
2016-01-20 07:00:00,8.58,8.58,8.43,8.48,760120,1
2016-01-21 07:00:00,8.43,8.48,7.93,7.93,2699730,1
2016-01-22 07:00:00,7.93,7.98,7.38,7.53,5376560,1
2016-01-25 07:00:00,7.83,8.03,7.78,8.03,1964520,1
2016-01-26 07:00:00,8.08,8.43,7.78,8.28,2678070,1
2016-01-27 07:00:00,8.28,8.68,8.23,8.63,2314620,1
2016-01-28 07:00:00,8.73,8.78,8.28,8.28,1853090,1
2016-01-29 07:00:00,8.28,8.48,8.23,8.43,1764470,1
2016-02-01 07:00:00,8.28,8.48,8.18,8.18,1626710,1
2016-02-02 07:00:00,8.13,8.43,8.03,8.13,824540,1
2016-02-03 07:00:00,8.08,8.23,8.03,8.23,718690,1
2016-02-04 07:00:00,8.28,8.33,8.13,8.13,1099370,1
2016-02-05 07:00:00,8.13,8.23,8.08,8.23,490750,1
2016-02-15 07:00:00,8.18,8.28,8.08,8.23,452890,1
2016-02-16 07:00:00,8.28,8.28,8.13,8.18,781240,1
2016-02-17 07:00:00,8.18,8.18,8.03,8.03,1511740,1
2016-02-18 07:00:00,8.13,8.23,8.08,8.08,1277910,1
2016-02-19 07:00:00,8.13,8.38,8.08,8.28,1647780,1
2016-02-22 07:00:00,8.38,8.63,8.33,8.63,2247920,1
2016-02-23 07:00:00,8.73,8.73,8.48,8.53,1871900,1
2016-02-24 07:00:00,8.48,9.09,8.43,9.09,5780650,1
2016-02-25 07:00:00,9.34,9.54,9.09,9.19,3264500,1
2016-02-26 07:00:00,9.29,9.39,9.14,9.24,1813600,1
2016-02-29 07:00:00,9.14,9.19,8.88,8.88,2484180,1
2016-03-01 07:00:00,8.98,9.09,8.88,8.88,1866330,1
2016-03-02 07:00:00,9.03,9.19,8.98,9.19,1811300,1
2016-03-03 07:00:00,9.19,9.24,9.03,9.14,1274450,1
2016-03-04 07:00:00,9.14,9.19,9.09,9.09,1180200,1
2016-03-07 07:00:00,9.14,9.14,8.98,8.98,1713710,1
2016-03-08 07:00:00,8.98,9.03,8.88,8.93,1485440,1
2016-03-09 07:00:00,8.93,8.98,8.68,8.73,1236990,1
2016-03-10 07:00:00,8.83,8.88,8.73,8.88,951910,1
2016-03-11 07:00:00,8.98,9.03,8.88,8.88,1299460,1
2016-03-14 07:00:00,8.88,8.98,8.83,8.88,968310,1
2016-03-15 07:00:00,8.88,8.88,8.73,8.78,1208710,1
2016-03-16 07:00:00,8.78,8.93,8.73,8.88,1398670,1
2016-03-17 07:00:00,8.93,8.98,8.88,8.88,970590,1
2016-03-18 07:00:00,8.88,8.88,8.68,8.83,954300,1
2016-03-21 07:00:00,8.88,8.98,8.83,8.83,1464080,1
2016-03-22 07:00:00,8.83,8.83,8.68,8.68,1313850,1
2016-03-23 07:00:00,8.73,8.83,8.68,8.83,994300,1
2016-03-24 07:00:00,8.78,8.78,8.63,8.63,943010,1
2016-03-25 07:00:00,8.63,8.68,8.48,8.68,1473220,1
2016-03-28 07:00:00,8.73,8.73,8.58,8.63,580320,1
2016-03-29 07:00:00,8.53,8.63,8.48,8.48,697840,1
2016-03-30 07:00:00,8.48,8.53,8.38,8.48,824140,1
2016-03-31 07:00:00,8.58,8.63,8.38,8.38,769430,1
2016-04-01 07:00:00,8.43,8.53,8.33,8.33,1187420,1
2016-04-04 07:00:00,8.33,8.53,8.28,8.28,764980,1
2016-04-05 07:00:00,8.28,8.38,8.28,8.33,437370,1
2016-04-06 07:00:00,8.33,8.48,8.33,8.48,1197530,1
2016-04-07 07:00:00,8.53,8.53,8.43,8.48,452990,1
2016-04-08 07:00:00,8.48,8.48,8.43,8.43,259830,1
2016-04-11 07:00:00,8.43,8.48,8.28,8.38,1312000,1
2016-04-12 07:00:00,8.28,8.33,8.08,8.13,1533930,1
2016-04-13 07:00:00,8.03,8.08,7.78,7.93,2085010,1
2016-04-14 07:00:00,7.93,8.18,7.88,7.98,1642570,1
2016-04-15 07:00:00,8.13,8.13,7.98,8.03,701360,1
2016-04-19 07:00:00,7.98,7.98,7.83,7.83,1099770,1
2016-04-20 07:00:00,7.88,7.98,7.83,7.88,1067790,1
2016-04-21 07:00:00,7.93,7.98,7.83,7.98,854710,1
2016-04-22 07:00:00,7.93,8.53,7.88,8.53,2817020,1
2016-04-25 07:00:00,8.78,9.03,8.78,8.78,3955540,1
2016-04-26 07:00:00,8.78,8.78,8.58,8.68,956530,1
2016-04-27 07:00:00,8.73,8.73,8.43,8.53,1222870,1
2016-04-28 07:00:00,8.53,8.58,8.28,8.28,866470,1
2016-04-29 07:00:00,8.28,8.78,8.28,8.78,3038650,1
2016-05-04 07:00:00,8.68,8.88,8.53,8.68,1426100,1
2016-05-05 07:00:00,8.63,9.03,8.63,8.88,3034260,1
2016-05-06 07:00:00,8.88,9.24,8.88,9.09,4363520,1
2016-05-09 07:00:00,9.14,9.24,8.88,8.93,2115080,1
2016-05-10 07:00:00,8.88,9.29,8.78,9.19,3716070,1
2016-05-11 07:00:00,9.29,9.39,9.24,9.34,3121100,1
2016-05-12 07:00:00,9.39,9.39,9.24,9.39,2149990,1
2016-05-13 07:00:00,9.34,9.49,9.29,9.39,3104020,1
2016-05-16 07:00:00,9.34,9.44,9.29,9.34,1573350,1
2016-05-17 07:00:00,9.49,9.64,9.39,9.54,3209630,1
2016-05-18 07:00:00,9.54,9.69,9.49,9.54,1985700,1
2016-05-19 07:00:00,9.49,9.54,9.34,9.34,966170,1
2016-05-20 07:00:00,9.34,9.44,9.14,9.19,1977000,1
2016-05-23 07:00:00,9.19,9.24,8.98,8.98,1529710,1
2016-05-24 07:00:00,8.98,9.09,8.88,8.98,1644700,1
2016-05-25 07:00:00,9.03,9.14,8.98,8.98,938560,1
2016-05-26 07:00:00,8.93,8.98,8.73,8.78,1602380,1
2016-05-27 07:00:00,8.78,8.93,8.68,8.93,1466540,1
2016-05-30 07:00:00,8.93,9.14,8.88,9.09,661330,1
2016-05-31 07:00:00,9.14,9.24,9.09,9.14,1813280,1
2016-06-01 07:00:00,9.03,9.24,9.03,9.19,1032960,1
2016-06-02 07:00:00,9.19,9.29,9.14,9.29,834990,1
2016-06-03 07:00:00,9.29,9.34,9.19,9.19,1115540,1
2016-06-06 07:00:00,9.19,9.19,9.03,9.14,1083280,1
2016-06-07 07:00:00,9.14,9.19,9.03,9.09,1149500,1
2016-06-08 07:00:00,9.03,9.29,9.03,9.19,1699270,1
2016-06-09 07:00:00,9.19,9.49,9.14,9.44,2943510,1
2016-06-10 07:00:00,9.39,9.54,9.34,9.34,3935310,1
2016-06-13 07:00:00,9.29,9.34,9.14,9.19,886660,1
2016-06-14 07:00:00,9.09,9.19,9.03,9.09,1115200,1
2016-06-15 07:00:00,9.03,9.19,9.03,9.09,867900,1
2016-06-16 07:00:00,9.14,9.19,9.03,9.03,819390,1
2016-06-17 07:00:00,9.03,9.09,8.88,9.03,965090,1
2016-06-20 07:00:00,8.98,9.03,8.93,9.03,595980,1
2016-06-21 07:00:00,9.14,9.14,8.98,9.03,575810,1
2016-06-22 07:00:00,9.03,9.03,8.93,8.98,371290,1
2016-06-23 07:00:00,8.98,9.09,8.93,9.03,764500,1
2016-06-24 07:00:00,8.98,8.98,8.48,8.88,1936510,1
2016-06-27 07:00:00,8.68,8.78,8.58,8.78,799990,1
2016-06-28 07:00:00,8.78,8.78,8.63,8.78,351720,1
2016-06-29 07:00:00,8.78,8.93,8.73,8.83,1083530,1
2016-06-30 07:00:00,8.83,8.88,8.73,8.78,639570,1
2016-07-01 07:00:00,8.73,8.83,8.68,8.73,788490,1
2016-07-04 07:00:00,8.73,8.78,8.58,8.78,1555770,1
2016-07-05 07:00:00,8.78,9.14,8.73,9.03,2066340,1
2016-07-06 07:00:00,8.93,8.98,8.88,8.98,598240,1
2016-07-07 07:00:00,8.93,8.98,8.88,8.98,602090,1
2016-07-08 07:00:00,8.93,8.98,8.68,8.93,1266730,1
2016-07-11 07:00:00,8.93,9.09,8.78,8.93,2012310,1
2016-07-12 07:00:00,8.98,8.98,8.83,8.93,687640,1
2016-07-13 07:00:00,8.93,9.39,8.93,9.29,4327780,1
2016-07-14 07:00:00,9.34,9.59,9.34,9.34,4315400,1
2016-07-15 07:00:00,9.29,9.34,9.19,9.29,1123160,1
2016-07-18 07:00:00,9.19,9.39,9.09,9.34,2082080,1
2016-07-19 07:00:00,9.34,9.34,8.93,9.03,2758450,1
2016-07-20 07:00:00,9.03,9.09,8.88,8.88,1363320,1
2016-07-21 07:00:00,8.93,8.98,8.83,8.88,1705470,1
2016-07-22 07:00:00,8.83,8.88,8.68,8.88,2009510,1
2016-07-25 07:00:00,8.88,8.93,8.78,8.83,581260,1
2016-07-26 07:00:00,8.83,8.88,8.73,8.78,858490,1
2016-07-27 07:00:00,8.73,8.93,8.73,8.88,1091370,1
2016-07-28 07:00:00,8.83,8.93,8.78,8.83,501590,1
2016-07-29 07:00:00,8.78,8.83,8.73,8.83,805210,1
2016-08-01 07:00:00,8.93,8.93,8.73,8.83,707890,1
2016-08-02 07:00:00,8.78,8.78,8.53,8.58,1169700,1
2016-08-03 07:00:00,8.63,8.63,8.43,8.58,1317460,1
2016-08-04 07:00:00,8.58,8.63,8.48,8.48,1128240,1
2016-08-05 07:00:00,8.38,8.43,8.18,8.38,1690970,1
2016-08-08 07:00:00,8.28,8.33,8.13,8.33,1551990,1
2016-08-09 07:00:00,8.33,8.38,8.23,8.28,519900,1
2016-08-10 07:00:00,8.18,8.48,8.18,8.48,1148170,1
2016-08-11 07:00:00,8.48,8.68,8.38,8.68,1228890,1
2016-08-12 07:00:00,8.58,8.68,8.43,8.58,434800,1
2016-08-15 07:00:00,8.48,8.58,8.43,8.58,632830,1
2016-08-16 07:00:00,8.58,8.58,8.43,8.48,827940,1
2016-08-17 07:00:00,8.48,8.53,8.38,8.48,285200,1
2016-08-18 07:00:00,8.43,8.43,8.28,8.38,1343540,1
2016-08-19 07:00:00,8.38,8.38,8.18,8.33,2029450,1
2016-08-22 07:00:00,8.23,8.33,8.23,8.28,1257980,1
2016-08-23 07:00:00,8.23,8.28,8.18,8.28,903350,1
2016-08-24 07:00:00,8.28,8.28,8.13,8.18,1612330,1
2016-08-25 07:00:00,8.18,8.23,8.08,8.18,703200,1
2016-08-26 07:00:00,8.23,8.38,8.18,8.23,1297270,1
2016-08-29 07:00:00,8.28,8.33,8.23,8.28,1091630,1
2016-08-30 07:00:00,8.23,8.28,8.18,8.28,466210,1
2016-08-31 07:00:00,8.23,8.28,8.18,8.23,734920,1
2016-09-01 07:00:00,8.23,8.23,8.08,8.23,900430,1
2016-09-05 07:00:00,8.18,8.23,7.98,8.23,1306300,1
2016-09-06 07:00:00,8.08,8.18,8.08,8.08,828750,1
2016-09-07 07:00:00,8.08,8.13,7.98,8.08,1329560,1
2016-09-08 07:00:00,8.18,8.18,8.03,8.18,541640,1
2016-09-09 07:00:00,8.13,8.18,8.13,8.18,447890,1
2016-09-12 07:00:00,8.23,8.26,8.08,8.18,815890,1
2016-09-13 07:00:00,8.13,8.18,8.08,8.13,477480,1
2016-09-14 07:00:00,8.03,8.08,7.98,7.98,652350,1
2016-09-15 07:00:00,7.98,8.03,7.91,7.98,916150,1
2016-09-16 07:00:00,7.98,7.98,7.83,7.96,758660,1
2016-09-19 07:00:00,7.98,8.01,7.91,7.93,367810,1
2016-09-20 07:00:00,7.93,8.03,7.81,8.03,983190,1
2016-09-21 07:00:00,7.93,8.18,7.93,8.08,960130,1
2016-09-22 07:00:00,8.08,8.18,8.03,8.06,502770,1
2016-09-23 07:00:00,8.06,8.06,7.96,8.06,753340,1
2016-09-26 07:00:00,8.03,8.06,7.93,8.01,775690,1
2016-09-27 07:00:00,7.93,8.43,7.93,8.43,4499140,1
2016-09-28 07:00:00,8.43,8.71,8.38,8.71,3589280,1
2016-09-29 07:00:00,8.68,8.68,8.41,8.53,1270170,1
2016-09-30 07:00:00,8.38,8.58,8.36,8.53,1672670,1
2016-10-03 07:00:00,8.53,8.58,8.41,8.53,1677100,1
2016-10-04 07:00:00,8.48,8.71,8.46,8.58,1684540,1
2016-10-05 07:00:00,8.58,8.76,8.53,8.68,1597280,1
2016-10-06 07:00:00,8.66,8.71,8.56,8.68,2478390,1
2016-10-07 07:00:00,8.63,8.68,8.51,8.53,905070,1
2016-10-10 07:00:00,8.51,8.58,8.38,8.41,778870,1
2016-10-11 07:00:00,8.41,8.43,8.23,8.43,1974890,1
2016-10-12 07:00:00,8.43,8.48,8.38,8.43,422240,1
2016-10-13 07:00:00,8.41,8.43,8.38,8.43,421910,1
2016-10-14 07:00:00,8.38,8.58,8.36,8.53,2349780,1
2016-10-17 07:00:00,8.48,8.61,8.48,8.58,897530,1
2016-10-18 07:00:00,8.58,8.58,8.41,8.53,251130,1
2016-10-19 07:00:00,8.46,8.88,8.46,8.88,5957570,1
2016-10-20 07:00:00,8.93,8.93,8.78,8.83,2281060,1
2016-10-21 07:00:00,8.73,8.88,8.73,8.83,929330,1
2016-10-24 07:00:00,8.93,8.98,8.83,8.86,3458020,1
2016-10-25 07:00:00,8.86,8.86,8.63,8.76,2232770,1
2016-10-26 07:00:00,8.68,8.78,8.53,8.66,1230860,1
2016-10-27 07:00:00,8.58,8.61,8.38,8.38,2307600,1
2016-10-28 07:00:00,8.43,8.63,8.41,8.58,1926490,1
2016-10-31 07:00:00,8.58,8.63,8.38,8.38,1090960,1
2016-11-01 07:00:00,8.38,8.53,8.36,8.53,1407290,1
2016-11-02 07:00:00,8.53,8.53,8.38,8.46,1422400,1
2016-11-03 07:00:00,8.56,8.56,8.38,8.51,1917430,1
2016-11-04 07:00:00,8.4,8.56,8.35,8.56,1590540,1
2016-11-07 07:00:00,8.43,8.56,8.35,8.35,1291320,1
2016-11-08 07:00:00,8.35,8.46,8.33,8.33,650940,1
2016-11-09 07:00:00,8.35,8.35,7.82,8.35,1444880,1
2016-11-10 07:00:00,8.4,8.4,8.3,8.35,1048200,1
2016-11-11 07:00:00,8.3,8.38,8.22,8.3,730860,1
2016-11-14 07:00:00,8.33,8.33,8.09,8.11,1117210,1
2016-11-15 07:00:00,8.11,8.19,8.09,8.11,943440,1
2016-11-16 07:00:00,8.11,8.19,8.11,8.17,554170,1
2016-11-17 07:00:00,8.17,8.17,8.09,8.09,680780,1
2016-11-18 07:00:00,8.11,8.11,8.03,8.09,837340,1
2016-11-21 07:00:00,8.14,8.3,8.14,8.19,2002790,1
2016-11-22 07:00:00,8.19,8.51,8.19,8.51,1905030,1
2016-11-23 07:00:00,8.56,8.64,8.51,8.51,3221530,1
2016-11-24 07:00:00,8.51,8.51,8.3,8.46,617020,1
2016-11-25 07:00:00,8.46,8.46,8.3,8.4,840410,1
2016-11-28 07:00:00,8.35,8.35,8.22,8.3,1818540,1
2016-11-29 07:00:00,8.3,8.33,8.03,8.03,1665320,1
2016-11-30 07:00:00,8.14,8.17,8.01,8.09,2368910,1
2016-12-01 07:00:00,8.14,8.14,8.06,8.14,2936240,1
2016-12-02 07:00:00,8.11,8.14,8.03,8.09,1335510,1
2016-12-05 07:00:00,8.09,8.09,7.93,8.03,1640570,1
2016-12-06 07:00:00,7.98,7.98,7.66,7.8,2279090,1
2016-12-07 07:00:00,7.8,7.85,7.74,7.8,1784350,1
2016-12-08 07:00:00,7.8,7.85,7.74,7.82,1623610,1
2016-12-09 07:00:00,7.82,7.88,7.74,7.8,772520,1
2016-12-12 07:00:00,7.72,7.8,7.64,7.72,1565240,1
2016-12-13 07:00:00,7.66,7.66,7.4,7.56,2488130,1
2016-12-14 07:00:00,7.45,8.03,7.43,8.03,1762620,1
2016-12-15 07:00:00,7.82,7.93,7.66,7.93,2157870,1
2016-12-16 07:00:00,7.69,7.82,7.69,7.74,1663470,1
2016-12-19 07:00:00,7.74,7.93,7.74,7.8,1823730,1
2016-12-20 07:00:00,7.82,7.85,7.74,7.8,1298970,1
2016-12-21 07:00:00,7.8,7.88,7.69,7.88,1778310,1
2016-12-22 07:00:00,7.8,7.8,7.66,7.72,967740,1
2016-12-23 07:00:00,7.72,7.72,7.59,7.72,1837280,1
2016-12-26 07:00:00,7.72,7.8,7.69,7.72,1127830,1
2016-12-27 07:00:00,7.72,7.72,7.59,7.66,1463890,1
2016-12-28 07:00:00,7.69,7.69,7.56,7.64,1805210,1
2016-12-29 07:00:00,7.61,7.64,7.51,7.56,1707820,1
2016-12-30 07:00:00,7.53,7.61,7.51,7.51,1439980,1
2017-01-03 07:00:00,7.59,8.01,7.59,8.01,4954000,1
2017-01-04 07:00:00,8.09,8.3,8.09,8.17,4674470,1
2017-01-05 07:00:00,8.11,8.3,8.03,8.14,1988580,1
2017-01-06 07:00:00,8.03,8.48,8.03,8.33,6338280,1
2017-01-09 07:00:00,8.35,8.67,8.35,8.56,6160700,1
2017-01-10 07:00:00,8.51,8.56,8.43,8.51,2471780,1
2017-01-11 07:00:00,8.56,8.77,8.48,8.77,7292910,1
2017-01-12 07:00:00,8.77,8.77,8.67,8.72,3541500,1
2017-01-13 07:00:00,8.72,8.75,8.54,8.59,3414240,1
2017-01-16 07:00:00,8.59,8.62,8.35,8.35,2739610,1
2017-01-17 07:00:00,8.51,8.91,8.43,8.88,6538420,1
2017-01-18 07:00:00,8.88,9.14,8.7,8.7,5523490,1
2017-01-19 07:00:00,8.64,8.8,8.62,8.7,1997400,1
2017-01-20 07:00:00,8.72,8.93,8.67,8.8,3226890,1
2017-01-23 07:00:00,8.83,8.99,8.77,8.91,3412290,1
2017-01-24 07:00:00,8.91,9.07,8.91,8.99,3130040,1
2017-01-25 07:00:00,8.99,8.99,8.72,8.93,2424360,1
2017-02-02 07:00:00,8.93,9.09,8.8,9.09,3033030,1
2017-02-03 07:00:00,9.09,9.28,9.01,9.09,4057580,1
2017-02-06 07:00:00,9.09,9.2,8.99,9.09,2896390,1
2017-02-07 07:00:00,9.01,9.17,8.96,9.04,3550940,1
2017-02-08 07:00:00,9.04,9.09,8.91,8.99,3716420,1
2017-02-09 07:00:00,8.99,9.07,8.91,8.91,3894230,1
2017-02-10 07:00:00,8.91,9.07,8.88,9.04,3882460,1
2017-02-13 07:00:00,9.04,9.07,8.91,8.91,2356920,1
2017-02-14 07:00:00,8.93,9.01,8.91,8.99,3452520,1
2017-02-15 07:00:00,8.99,9.2,8.91,9.17,3866520,1
2017-02-16 07:00:00,9.12,9.22,8.99,8.99,4207540,1
2017-02-17 07:00:00,8.93,9.01,8.85,8.93,2315410,1
2017-02-20 07:00:00,8.88,8.91,8.72,8.77,4319650,1
2017-02-21 07:00:00,8.83,8.91,8.8,8.83,3466220,1
2017-02-22 07:00:00,8.88,8.88,8.72,8.77,2027200,1
2017-02-23 07:00:00,8.77,8.83,8.64,8.8,1917960,1
2017-02-24 07:00:00,8.72,8.88,8.72,8.8,2717550,1
2017-02-27 07:00:00,8.72,8.83,8.7,8.83,1299320,1
2017-02-28 07:00:00,8.8,8.83,8.67,8.7,1374710,1
2017-03-01 07:00:00,8.7,8.7,8.51,8.62,2971500,1
2017-03-02 07:00:00,8.67,8.72,8.48,8.48,2357980,1
2017-03-03 07:00:00,8.51,8.67,8.35,8.67,3291400,1
2017-03-06 07:00:00,8.77,8.83,8.67,8.77,2663090,1
2017-03-07 07:00:00,8.72,8.77,8.67,8.72,1229860,1
