date,open,high,low,close,volume,is_trading_day
2015-12-17 07:00:00,7.94,8.11,7.9,7.99,744030,1
2015-12-18 07:00:00,7.94,7.99,7.86,7.86,535760,1
2015-12-21 07:00:00,7.86,7.86,7.77,7.86,440600,1
2015-12-22 07:00:00,7.82,7.94,7.77,7.77,426610,1
2015-12-23 07:00:00,7.77,7.82,7.69,7.69,556450,1
2015-12-24 07:00:00,7.77,7.77,7.69,7.69,194940,1
2015-12-25 07:00:00,7.73,7.77,7.65,7.69,286400,1
2015-12-28 07:00:00,7.69,7.82,7.65,7.69,395650,1
2015-12-29 07:00:00,7.69,7.86,7.6,7.86,604950,1
2015-12-30 07:00:00,7.9,7.94,7.82,7.9,638890,1
2015-12-31 07:00:00,7.94,7.94,7.82,7.9,407840,1
2016-01-04 07:00:00,7.86,7.9,7.69,7.77,404050,1
2016-01-05 07:00:00,7.69,7.77,7.65,7.69,319920,1
2016-01-06 07:00:00,7.69,7.82,7.69,7.77,544940,1
2016-01-07 07:00:00,7.69,7.82,7.56,7.69,1592360,1
2016-01-08 07:00:00,7.65,7.65,7.52,7.52,992590,1
2016-01-11 07:00:00,7.52,7.6,7.48,7.52,667790,1
2016-01-12 07:00:00,7.52,7.6,7.48,7.56,591100,1
2016-01-13 07:00:00,7.6,7.65,7.52,7.52,458080,1
2016-01-14 07:00:00,7.52,7.52,7.35,7.52,853540,1
2016-01-15 07:00:00,7.52,7.56,7.39,7.48,648830,1
2016-01-18 07:00:00,7.31,7.31,6.97,7.14,1397320,1
2016-01-19 07:00:00,7.09,7.39,7.09,7.39,1027250,1
2016-01-20 07:00:00,7.35,7.35,7.18,7.18,608350,1
2016-01-21 07:00:00,7.14,7.22,6.92,6.97,1144260,1
2016-01-22 07:00:00,6.97,7.01,6.71,6.84,874560,1
2016-01-25 07:00:00,7.01,7.31,7.01,7.31,879160,1
2016-01-26 07:00:00,7.22,7.39,7.14,7.39,974540,1
2016-01-27 07:00:00,7.39,7.56,7.39,7.43,390160,1
2016-01-28 07:00:00,7.43,7.48,7.31,7.31,168290,1
2016-01-29 07:00:00,7.31,7.35,7.22,7.31,220720,1
2016-02-01 07:00:00,7.48,7.48,7.26,7.26,325280,1
2016-02-02 07:00:00,7.26,7.39,7.22,7.26,163090,1
2016-02-03 07:00:00,7.18,7.26,7.09,7.22,182840,1
2016-02-04 07:00:00,7.31,7.31,7.22,7.31,242050,1
2016-02-05 07:00:00,7.31,7.35,7.31,7.31,223150,1
2016-02-15 07:00:00,7.18,7.35,7.18,7.31,153830,1
2016-02-16 07:00:00,7.31,7.35,7.26,7.26,168880,1
2016-02-17 07:00:00,7.26,7.31,7.22,7.26,264310,1
2016-02-18 07:00:00,7.26,7.39,7.22,7.39,462570,1
2016-02-19 07:00:00,7.35,7.39,7.31,7.31,464980,1
2016-02-22 07:00:00,7.35,7.39,7.22,7.31,798720,1
2016-02-23 07:00:00,7.35,7.39,7.26,7.26,547820,1
2016-02-24 07:00:00,7.22,7.73,7.22,7.73,3102090,1
2016-02-25 07:00:00,7.82,7.86,7.65,7.82,1745900,1
2016-02-26 07:00:00,7.77,7.82,7.73,7.77,391080,1
2016-02-29 07:00:00,7.73,7.73,7.56,7.56,927670,1
2016-03-01 07:00:00,7.56,7.65,7.48,7.48,795250,1
2016-03-02 07:00:00,7.52,7.65,7.52,7.6,600340,1
2016-03-03 07:00:00,7.65,7.69,7.56,7.65,908900,1
2016-03-04 07:00:00,7.65,7.69,7.56,7.56,988840,1
2016-03-07 07:00:00,7.65,7.65,7.52,7.56,738230,1
2016-03-08 07:00:00,7.52,7.6,7.43,7.52,1265670,1
2016-03-09 07:00:00,7.52,7.56,7.39,7.39,848880,1
2016-03-10 07:00:00,7.43,7.48,7.39,7.43,337750,1
2016-03-11 07:00:00,7.48,7.52,7.39,7.39,599880,1
2016-03-14 07:00:00,7.43,7.48,7.35,7.39,556200,1
2016-03-15 07:00:00,7.39,7.39,7.26,7.35,749470,1
2016-03-16 07:00:00,7.35,7.43,7.31,7.35,661310,1
2016-03-17 07:00:00,7.39,7.48,7.35,7.39,948590,1
2016-03-18 07:00:00,7.39,7.43,7.35,7.35,210600,1
2016-03-21 07:00:00,7.39,7.52,7.35,7.35,633320,1
2016-03-22 07:00:00,7.31,7.39,7.26,7.26,478150,1
2016-03-23 07:00:00,7.26,7.35,7.26,7.31,206120,1
2016-03-24 07:00:00,7.35,7.35,7.18,7.18,549240,1
2016-03-25 07:00:00,7.18,7.22,7.05,7.18,653890,1
2016-03-28 07:00:00,7.26,7.26,7.14,7.18,260810,1
2016-03-29 07:00:00,7.18,7.18,7.05,7.05,531710,1
2016-03-30 07:00:00,7.09,7.09,7.01,7.09,693910,1
2016-03-31 07:00:00,7.09,7.09,6.92,6.97,573010,1
2016-04-01 07:00:00,6.97,7.01,6.88,6.92,499970,1
2016-04-04 07:00:00,6.92,7.01,6.88,7.01,341700,1
2016-04-05 07:00:00,6.97,7.05,6.92,6.97,316480,1
2016-04-06 07:00:00,6.97,7.09,6.92,7.09,1125710,1
2016-04-07 07:00:00,7.14,7.14,7.01,7.09,1000690,1
2016-04-08 07:00:00,7.14,7.14,7.05,7.09,485640,1
2016-04-11 07:00:00,7.14,7.14,6.97,7.01,1579920,1
2016-04-12 07:00:00,7.01,7.05,6.84,6.88,1469180,1
2016-04-13 07:00:00,6.88,6.92,6.8,6.88,889370,1
2016-04-14 07:00:00,6.92,6.97,6.84,6.84,479910,1
2016-04-15 07:00:00,6.84,6.92,6.84,6.88,1575310,1
2016-04-19 07:00:00,6.92,6.92,6.75,6.8,593650,1
2016-04-20 07:00:00,6.8,6.84,6.71,6.8,809560,1
2016-04-21 07:00:00,6.84,6.84,6.75,6.8,436360,1
2016-04-22 07:00:00,6.8,7.26,6.75,7.14,2636290,1
2016-04-25 07:00:00,7.22,7.39,7.22,7.26,2999940,1
2016-04-26 07:00:00,7.31,7.31,7.14,7.18,644470,1
2016-04-27 07:00:00,7.22,7.22,7.01,7.01,1759290,1
2016-04-28 07:00:00,6.97,7.01,6.84,6.88,1137280,1
2016-04-29 07:00:00,6.84,7.18,6.84,7.05,1345320,1
2016-05-04 07:00:00,7.05,7.09,6.92,6.97,775300,1
2016-05-05 07:00:00,7.05,7.18,6.97,7.09,1517550,1
2016-05-06 07:00:00,7.09,7.39,7.09,7.35,3576280,1
2016-05-09 07:00:00,7.43,7.56,7.31,7.35,2398820,1
2016-05-10 07:00:00,7.26,7.48,7.22,7.39,1709950,1
2016-05-11 07:00:00,7.43,7.65,7.35,7.65,3463790,1
2016-05-12 07:00:00,7.73,7.73,7.48,7.52,1282940,1
2016-05-13 07:00:00,7.52,7.69,7.43,7.52,1600710,1
2016-05-16 07:00:00,7.52,7.52,7.39,7.43,894230,1
2016-05-17 07:00:00,7.52,7.65,7.48,7.65,1847570,1
2016-05-18 07:00:00,7.6,7.73,7.56,7.6,1645270,1
2016-05-19 07:00:00,7.6,7.65,7.52,7.52,555110,1
2016-05-20 07:00:00,7.52,7.56,7.39,7.43,774760,1
2016-05-23 07:00:00,7.48,7.48,7.26,7.26,938770,1
2016-05-24 07:00:00,7.26,7.35,7.22,7.35,1147300,1
2016-05-25 07:00:00,7.35,7.43,7.35,7.35,1056090,1
2016-05-26 07:00:00,7.31,7.35,7.18,7.26,1542950,1
