date,open,high,low,close,volume,is_trading_day
2018-03-21 07:00:00,12.97,12.97,8.47,9.42,515800,1
2018-03-22 07:00:00,9.51,9.77,8.82,9.42,260800,1
2018-03-23 07:00:00,9.16,9.16,8.65,9.08,111800,1
2018-03-26 07:00:00,8.82,9.08,8.82,8.9,267800,1
2018-03-27 07:00:00,9.34,9.51,9.08,9.42,52200,1
2018-03-28 07:00:00,9.42,10.2,9.34,9.94,139800,1
2018-03-29 07:00:00,10.11,10.63,9.86,10.29,587200,1
2018-03-30 07:00:00,10.72,11.24,9.77,10.63,540800,1
2018-04-02 07:00:00,10.81,11.24,10.81,11.15,348000,1
2018-04-03 07:00:00,11.15,11.24,10.81,10.89,421300,1
2018-04-04 07:00:00,11.07,11.07,10.37,10.37,216100,1
2018-04-05 07:00:00,10.55,10.72,9.68,9.77,166200,1
2018-04-06 07:00:00,10.2,10.2,9.51,9.6,165600,1
2018-04-09 07:00:00,9.34,9.34,9.16,9.34,78200,1
2018-04-10 07:00:00,9.16,9.68,9.08,9.6,102000,1
2018-04-11 07:00:00,9.34,9.68,8.99,9.16,332300,1
2018-04-12 07:00:00,9.16,9.42,8.99,9.42,192400,1
2018-04-13 07:00:00,9.51,9.51,9.16,9.16,81100,1
2018-04-16 07:00:00,9.16,9.25,9.08,9.08,102600,1
2018-04-17 07:00:00,8.99,9.34,8.99,9.34,159800,1
2018-04-18 07:00:00,9.34,9.42,9.16,9.25,83800,1
2018-04-19 07:00:00,9.16,9.25,8.99,9.25,165400,1
2018-04-20 07:00:00,9.16,9.25,8.99,9.16,76100,1
2018-04-23 07:00:00,9.16,9.16,8.82,9.16,211500,1
2018-04-24 07:00:00,8.65,8.99,8.65,8.9,21100,1
2018-04-26 07:00:00,8.82,8.9,8.65,8.65,102600,1
2018-04-27 07:00:00,8.82,8.9,8.65,8.73,82200,1
2018-05-02 07:00:00,8.65,8.65,8.65,8.65,59200,1
2018-05-03 07:00:00,9.25,9.25,8.65,9.08,56200,1
2018-05-04 07:00:00,8.65,8.99,8.65,8.9,5500,1
2018-05-07 07:00:00,8.9,8.99,8.65,8.73,130900,1
2018-05-08 07:00:00,8.65,8.9,8.56,8.65,98300,1
2018-05-09 07:00:00,8.65,8.73,8.56,8.73,166300,1
2018-05-10 07:00:00,8.56,8.82,8.47,8.65,122500,1
2018-05-11 07:00:00,8.65,8.65,8.47,8.56,155800,1
2018-05-14 07:00:00,8.56,8.56,8.3,8.56,122000,1
2018-05-15 07:00:00,8.56,8.65,8.39,8.65,111100,1
2018-05-16 07:00:00,8.47,8.47,8.47,8.47,39000,1
2018-05-17 07:00:00,8.56,8.65,8.47,8.47,73100,1
2018-05-18 07:00:00,8.65,8.65,8.56,8.65,67100,1
2018-05-21 07:00:00,8.56,8.65,8.56,8.56,144400,1
2018-05-22 07:00:00,8.65,8.65,8.47,8.47,212200,1
2018-05-23 07:00:00,8.47,8.47,8.21,8.21,87700,1
2018-05-24 07:00:00,8.3,8.39,8.21,8.3,42700,1
2018-05-25 07:00:00,8.3,8.39,8.13,8.13,33000,1
2018-05-28 07:00:00,8.13,8.21,7.61,7.69,194500,1
2018-05-29 07:00:00,7.61,7.87,7.61,7.69,48100,1
2018-05-30 07:00:00,7.61,7.61,7.35,7.35,204200,1
2018-05-31 07:00:00,7.52,7.69,7.52,7.69,70800,1
2018-06-01 07:00:00,7.61,7.69,7.52,7.61,48200,1
2018-06-04 07:00:00,7.61,7.78,7.52,7.61,52900,1
2018-06-05 07:00:00,7.61,7.61,7.26,7.26,201900,1
2018-06-06 07:00:00,7.35,7.35,7.26,7.26,187800,1
2018-06-07 07:00:00,7.26,7.61,7.26,7.61,144800,1
2018-06-08 07:00:00,7.35,7.35,7.18,7.26,136900,1
2018-06-11 07:00:00,7.26,7.35,7.26,7.26,60400,1
2018-06-12 07:00:00,7.26,7.26,7.09,7.18,112600,1
2018-06-13 07:00:00,7.18,7.26,7.18,7.26,33700,1
2018-06-14 07:00:00,7.18,7.18,6.57,6.92,182100,1
2018-06-15 07:00:00,7.0,7.0,6.92,6.92,95300,1
2018-06-18 07:00:00,6.92,6.92,6.22,6.92,106100,1
2018-06-19 07:00:00,6.74,6.74,5.79,5.97,166500,1
2018-06-20 07:00:00,6.31,7.0,6.31,6.92,161400,1
2018-06-21 07:00:00,6.92,6.92,6.57,6.92,141300,1
2018-06-22 07:00:00,6.66,7.0,6.57,6.74,247200,1
2018-06-25 07:00:00,6.92,7.0,6.74,7.0,231700,1
2018-06-26 07:00:00,6.83,7.18,6.74,7.18,47800,1
2018-06-27 07:00:00,7.18,7.95,7.18,7.87,295200,1
2018-06-28 07:00:00,7.87,7.95,7.52,7.78,59600,1
2018-06-29 07:00:00,7.87,7.87,7.61,7.69,64400,1
2018-07-02 07:00:00,7.69,7.69,7.61,7.61,30200,1
2018-07-03 07:00:00,6.83,7.52,6.83,7.52,32300,1
2018-07-04 07:00:00,7.26,8.21,7.26,7.87,139400,1
2018-07-05 07:00:00,7.69,7.87,6.83,7.35,200300,1
2018-07-06 07:00:00,7.18,7.35,7.18,7.35,90000,1
2018-07-09 07:00:00,7.35,7.43,7.35,7.43,20500,1
2018-07-10 07:00:00,7.09,7.35,7.0,7.35,69100,1
2018-07-11 07:00:00,7.18,7.18,7.0,7.18,472100,1
2018-07-12 07:00:00,7.18,7.18,6.92,6.92,64000,1
2018-07-13 07:00:00,7.18,7.18,7.09,7.09,372000,1
2018-07-16 07:00:00,7.09,7.09,6.92,7.09,187000,1
2018-07-17 07:00:00,6.92,6.92,6.74,6.83,33900,1
2018-07-18 07:00:00,7.09,7.09,6.83,6.83,27200,1
2018-07-19 07:00:00,6.74,6.83,6.48,6.83,101800,1
2018-07-20 07:00:00,6.83,7.52,6.83,7.52,114400,1
2018-07-23 07:00:00,7.52,7.69,7.35,7.52,500,1
2018-07-24 07:00:00,7.09,7.09,7.0,7.0,43000,1
2018-07-25 07:00:00,7.43,7.43,7.0,7.09,60200,1
2018-07-26 07:00:00,7.09,7.35,7.09,7.35,882600,1
2018-07-27 07:00:00,7.09,7.35,7.09,7.09,246900,1
2018-07-30 07:00:00,7.09,7.09,7.0,7.09,5400,1
2018-07-31 07:00:00,7.0,7.09,6.92,6.92,74900,1
2018-08-01 07:00:00,6.92,7.09,6.92,7.09,81600,1
2018-08-02 07:00:00,7.0,7.0,7.0,7.0,4400,1
2018-08-03 07:00:00,7.0,7.09,7.0,7.09,10800,1
2018-08-06 07:00:00,7.09,7.09,7.09,7.09,2800,1
2018-08-07 07:00:00,7.09,7.18,7.09,7.09,68600,1
2018-08-08 07:00:00,7.0,7.09,6.92,7.09,52000,1
2018-08-09 07:00:00,7.09,7.09,7.0,7.0,16800,1
2018-08-10 07:00:00,6.92,7.0,6.92,6.92,41900,1
2018-08-13 07:00:00,6.92,7.0,6.92,6.92,900,1
2018-08-14 07:00:00,7.0,7.0,6.92,6.92,25800,1
2018-08-15 07:00:00,7.0,7.0,6.92,7.0,235000,1
2018-08-16 07:00:00,6.83,6.83,6.83,6.83,105700,1
2018-08-17 07:00:00,6.83,7.09,6.83,6.83,60600,1
2018-08-20 07:00:00,6.83,6.92,6.74,6.83,72300,1
2018-08-21 07:00:00,6.83,6.92,6.74,6.92,37800,1
2018-08-22 07:00:00,6.83,6.92,6.83,6.92,11200,1
2018-08-23 07:00:00,6.92,6.92,6.92,6.92,8800,1
2018-08-24 07:00:00,6.92,6.92,6.92,6.92,16500,1
2018-08-27 07:00:00,6.92,6.92,6.92,6.92,16300,1
2018-08-28 07:00:00,6.83,7.0,6.74,6.92,42100,1
2018-08-29 07:00:00,6.92,6.92,6.92,6.92,7600,1
2018-08-30 07:00:00,7.09,7.78,6.92,7.18,1460300,1
2018-08-31 07:00:00,7.18,7.18,6.92,6.92,225500,1
2018-09-04 07:00:00,7.0,7.09,7.0,7.0,19000,1
2018-09-05 07:00:00,6.92,6.92,6.74,6.92,29500,1
2018-09-06 07:00:00,6.83,6.92,6.74,6.83,19000,1
2018-09-07 07:00:00,6.92,6.92,6.83,6.83,11600,1
2018-09-10 07:00:00,6.83,6.83,6.83,6.83,15000,1
2018-09-11 07:00:00,6.83,7.0,6.83,6.83,241360,1
2018-09-12 07:00:00,6.92,6.92,6.83,6.83,163700,1
2018-09-13 07:00:00,6.83,6.92,6.74,6.83,12000,1
2018-09-14 07:00:00,6.83,6.92,6.83,6.92,158000,1
2018-09-17 07:00:00,6.83,6.83,6.74,6.83,346950,1
2018-09-18 07:00:00,6.83,6.83,6.74,6.83,86300,1
2018-09-19 07:00:00,6.83,6.83,6.74,6.83,19300,1
2018-09-20 07:00:00,6.92,6.92,6.83,6.83,45200,1
2018-09-21 07:00:00,6.92,7.26,6.92,6.92,68300,1
2018-09-24 07:00:00,7.09,7.18,7.0,7.09,53200,1
2018-09-25 07:00:00,7.0,7.18,7.0,7.09,47900,1
2018-09-26 07:00:00,7.26,7.35,7.18,7.18,92800,1
2018-09-27 07:00:00,7.26,7.26,7.09,7.09,16100,1
2018-09-28 07:00:00,7.18,7.26,7.18,7.18,31400,1
2018-10-01 07:00:00,7.35,7.61,7.26,7.61,87900,1
2018-10-02 07:00:00,7.69,8.04,7.69,7.69,111100,1
2018-10-03 07:00:00,7.87,8.99,7.87,8.99,275790,1
2018-10-04 07:00:00,9.94,9.94,8.82,9.16,225950,1
2018-10-05 07:00:00,9.08,9.51,8.47,8.47,270250,1
2018-10-08 07:00:00,7.95,8.65,7.95,8.65,106200,1
2018-10-09 07:00:00,8.65,8.82,8.3,8.82,67680,1
2018-10-10 07:00:00,8.73,8.82,8.56,8.56,1500,1
2018-10-11 07:00:00,8.47,8.47,7.43,7.61,220500,1
2018-10-12 07:00:00,7.61,8.21,7.61,8.21,50630,1
2018-10-15 07:00:00,8.82,8.9,7.95,8.13,70100,1
2018-10-16 07:00:00,8.65,9.25,8.04,8.04,294800,1
2018-10-17 07:00:00,8.21,8.21,7.95,7.95,26240,1
2018-10-18 07:00:00,8.04,8.04,7.95,8.04,5400,1
2018-10-19 07:00:00,7.87,7.95,7.78,7.78,8400,1
2018-10-22 07:00:00,7.78,8.04,7.78,8.04,2510,1
2018-10-23 07:00:00,7.78,8.13,7.78,7.78,3800,1
2018-10-24 07:00:00,7.78,7.87,7.43,7.87,19000,1
2018-10-25 07:00:00,7.69,7.69,7.52,7.61,23000,1
