date,open,high,low,close,volume,is_trading_day
2018-01-05 07:00:00,7.45,7.57,6.97,7.57,32205910,1
2018-01-08 07:00:00,7.64,7.64,7.57,7.58,3321420,1
2018-01-09 07:00:00,7.58,7.6,7.43,7.59,4537340,1
2018-01-10 07:00:00,7.49,7.7,7.47,7.7,8726070,1
2018-01-11 07:00:00,7.72,8.12,7.7,8.12,9874500,1
2018-01-12 07:00:00,8.68,8.68,8.14,8.68,18714750,1
2018-01-15 07:00:00,8.69,8.73,8.41,8.69,6559820,1
2018-01-16 07:00:00,8.59,8.64,8.49,8.59,6271100,1
2018-01-17 07:00:00,8.16,8.59,8.16,8.16,5794700,1
2018-01-18 07:00:00,8.14,8.41,7.97,8.41,5371340,1
2018-01-19 07:00:00,8.5,8.81,8.5,8.64,6728810,1
2018-01-22 07:00:00,8.56,8.67,8.46,8.65,4402360,1
2018-01-25 07:00:00,8.69,9.23,8.6,9.13,10284390,1
2018-01-26 07:00:00,9.13,9.19,8.85,8.98,5637470,1
2018-01-29 07:00:00,9.0,9.07,8.85,8.99,6592140,1
2018-01-30 07:00:00,8.99,8.99,8.73,8.98,6121930,1
2018-01-31 07:00:00,8.96,8.96,8.79,8.9,5581950,1
2018-02-01 07:00:00,8.9,8.92,8.75,8.79,3428660,1
2018-02-02 07:00:00,8.79,8.79,8.65,8.79,4567580,1
2018-02-05 07:00:00,8.64,8.71,8.18,8.22,3353170,1
2018-02-06 07:00:00,7.64,7.89,7.64,7.83,3906020,1
2018-02-07 07:00:00,8.1,8.38,8.08,8.38,4238270,1
2018-02-08 07:00:00,8.38,8.76,8.31,8.58,4667920,1
2018-02-09 07:00:00,8.37,8.54,8.04,8.52,3454800,1
2018-02-12 07:00:00,8.54,8.98,8.53,8.88,3436010,1
2018-02-13 07:00:00,8.97,8.97,8.69,8.9,5066980,1
2018-02-21 07:00:00,8.96,9.0,8.69,8.92,3263200,1
2018-02-22 07:00:00,8.83,8.83,8.6,8.6,2243860,1
