date,open,high,low,close,volume,is_trading_day
2015-09-28 07:00:00,2.88,2.9,2.82,2.84,1307150,1
2015-09-29 07:00:00,2.8,2.84,2.78,2.84,2167970,1
2015-09-30 07:00:00,2.86,2.88,2.84,2.84,1035490,1
2015-10-01 07:00:00,2.9,2.92,2.86,2.88,2619760,1
2015-10-02 07:00:00,2.9,2.9,2.86,2.86,1032200,1
2015-10-05 07:00:00,2.88,2.92,2.86,2.88,2541890,1
2015-10-06 07:00:00,2.9,2.95,2.9,2.93,3536140,1
2015-10-07 07:00:00,2.95,2.95,2.92,2.92,1786280,1
2015-10-08 07:00:00,2.88,2.9,2.84,2.86,9337620,1
2015-10-09 07:00:00,2.86,2.88,2.82,2.82,2824500,1
2015-10-12 07:00:00,2.8,2.84,2.78,2.8,2679050,1
2015-10-13 07:00:00,2.78,2.82,2.78,2.8,1590810,1
2015-10-14 07:00:00,2.8,2.82,2.78,2.78,1437730,1
2015-10-15 07:00:00,2.78,2.8,2.74,2.78,2858560,1
2015-10-16 07:00:00,2.76,2.8,2.76,2.78,2432880,1
2015-10-19 07:00:00,2.76,2.78,2.76,2.76,1423060,1
2015-10-20 07:00:00,2.76,2.76,2.73,2.73,1762510,1
2015-10-21 07:00:00,2.73,2.73,2.67,2.69,2075190,1
2015-10-22 07:00:00,2.69,2.73,2.69,2.71,1411620,1
2015-10-23 07:00:00,2.71,2.74,2.71,2.73,736810,1
2015-10-26 07:00:00,2.71,2.73,2.69,2.69,1303210,1
2015-10-27 07:00:00,2.69,2.71,2.65,2.67,1501170,1
2015-10-28 07:00:00,2.67,2.69,2.65,2.65,784850,1
2015-10-29 07:00:00,2.65,2.67,2.63,2.65,1213650,1
2015-10-30 07:00:00,2.67,2.74,2.67,2.73,2162260,1
2015-11-02 07:00:00,2.74,2.76,2.71,2.73,1288050,1
2015-11-03 07:00:00,2.73,2.74,2.69,2.73,1352090,1
2015-11-04 07:00:00,2.73,2.76,2.69,2.69,1370210,1
2015-11-05 07:00:00,2.69,2.73,2.69,2.69,675030,1
2015-11-06 07:00:00,2.69,2.71,2.67,2.69,669700,1
2015-11-09 07:00:00,2.69,2.74,2.69,2.74,1673120,1
2015-11-10 07:00:00,2.73,2.74,2.71,2.71,1140750,1
2015-11-11 07:00:00,2.71,2.74,2.71,2.73,1822830,1
2015-11-12 07:00:00,2.73,2.76,2.73,2.76,3101940,1
2015-11-13 07:00:00,2.76,2.84,2.76,2.82,4236680,1
2015-11-16 07:00:00,2.8,2.82,2.78,2.8,1992040,1
2015-11-17 07:00:00,2.78,2.8,2.76,2.76,1190090,1
2015-11-18 07:00:00,2.74,2.8,2.74,2.8,1379800,1
2015-11-19 07:00:00,2.8,2.8,2.76,2.78,1132620,1
2015-11-20 07:00:00,2.76,2.8,2.76,2.76,1155950,1
2015-11-23 07:00:00,2.76,2.78,2.74,2.76,1210690,1
2015-11-24 07:00:00,2.76,2.76,2.71,2.73,708920,1
2015-11-25 07:00:00,2.73,2.74,2.71,2.73,766440,1
2015-11-26 07:00:00,2.73,2.74,2.71,2.73,624860,1
2015-11-27 07:00:00,2.73,2.74,2.71,2.71,1400280,1
2015-11-30 07:00:00,2.71,2.71,2.67,2.67,1122050,1
2015-12-01 07:00:00,2.69,2.71,2.67,2.69,691030,1
2015-12-02 07:00:00,2.69,2.71,2.69,2.71,301570,1
2015-12-03 07:00:00,2.71,2.71,2.69,2.71,105650,1
2015-12-04 07:00:00,2.69,2.71,2.67,2.69,663540,1
2015-12-07 07:00:00,2.67,2.69,2.65,2.67,377080,1
2015-12-08 07:00:00,2.67,2.67,2.63,2.67,1294930,1
2015-12-09 07:00:00,2.67,2.69,2.65,2.65,864210,1
2015-12-10 07:00:00,2.65,2.67,2.63,2.65,351980,1
2015-12-11 07:00:00,2.63,2.67,2.63,2.65,438700,1
2015-12-14 07:00:00,2.65,2.69,2.65,2.69,624120,1
2015-12-15 07:00:00,2.69,2.69,2.65,2.67,355420,1
2015-12-16 07:00:00,2.65,2.71,2.65,2.67,287090,1
2015-12-17 07:00:00,2.69,2.71,2.67,2.69,747840,1
2015-12-18 07:00:00,2.69,2.69,2.67,2.67,328350,1
2015-12-21 07:00:00,2.67,2.69,2.65,2.65,789650,1
2015-12-22 07:00:00,2.65,2.67,2.65,2.65,320960,1
2015-12-23 07:00:00,2.65,2.67,2.63,2.65,491010,1
2015-12-24 07:00:00,2.65,2.67,2.65,2.65,345610,1
2015-12-25 07:00:00,2.65,2.67,2.65,2.65,167650,1
2015-12-28 07:00:00,2.65,2.65,2.63,2.65,499740,1
2015-12-29 07:00:00,2.65,2.65,2.63,2.65,619500,1
2015-12-30 07:00:00,2.65,2.67,2.63,2.65,861420,1
2015-12-31 07:00:00,2.65,2.76,2.63,2.76,2573830,1
2016-01-04 07:00:00,2.69,2.73,2.65,2.67,532510,1
2016-01-05 07:00:00,2.65,2.69,2.65,2.65,400260,1
2016-01-06 07:00:00,2.65,2.67,2.65,2.67,251050,1
2016-01-07 07:00:00,2.67,2.67,2.63,2.63,601470,1
2016-01-08 07:00:00,2.61,2.63,2.59,2.61,646260,1
2016-01-11 07:00:00,2.61,2.63,2.59,2.59,420860,1
2016-01-12 07:00:00,2.59,2.63,2.59,2.63,467350,1
2016-01-13 07:00:00,2.63,2.65,2.61,2.61,379460,1
2016-01-14 07:00:00,2.59,2.61,2.57,2.61,458130,1
2016-01-15 07:00:00,2.59,2.61,2.57,2.59,184170,1
2016-01-18 07:00:00,2.57,2.57,2.48,2.52,1449410,1
2016-01-19 07:00:00,2.5,2.56,2.5,2.56,462500,1
2016-01-20 07:00:00,2.56,2.57,2.54,2.54,698530,1
2016-01-21 07:00:00,2.52,2.56,2.5,2.52,913700,1
2016-01-22 07:00:00,2.52,2.57,2.5,2.57,1056680,1
2016-01-25 07:00:00,2.59,2.69,2.59,2.69,2057470,1
2016-01-26 07:00:00,2.69,2.69,2.63,2.67,2260550,1
2016-01-27 07:00:00,2.69,2.71,2.67,2.69,1354930,1
2016-01-28 07:00:00,2.71,2.76,2.71,2.74,2905770,1
2016-01-29 07:00:00,2.74,2.74,2.71,2.73,910630,1
2016-02-01 07:00:00,2.73,2.74,2.71,2.73,1100900,1
2016-02-02 07:00:00,2.71,2.73,2.69,2.73,1005280,1
2016-02-03 07:00:00,2.71,2.73,2.71,2.71,430430,1
2016-02-04 07:00:00,2.73,2.76,2.71,2.74,687940,1
2016-02-05 07:00:00,2.74,2.8,2.74,2.78,1556380,1
2016-02-15 07:00:00,2.84,2.88,2.8,2.84,2888150,1
2016-02-16 07:00:00,2.84,2.84,2.8,2.84,709220,1
2016-02-17 07:00:00,2.84,2.84,2.82,2.82,1166010,1
2016-02-18 07:00:00,2.84,2.86,2.82,2.82,2149910,1
2016-02-19 07:00:00,2.86,2.95,2.82,2.93,19280170,1
2016-02-22 07:00:00,2.95,2.97,2.93,2.93,8789450,1
2016-02-23 07:00:00,2.93,2.95,2.9,2.9,6181160,1
2016-02-24 07:00:00,2.86,2.92,2.84,2.9,6150650,1
2016-02-25 07:00:00,2.9,2.92,2.86,2.86,1948280,1
2016-02-26 07:00:00,2.86,2.86,2.82,2.84,2332800,1
2016-02-29 07:00:00,2.84,2.84,2.76,2.76,1841140,1
2016-03-01 07:00:00,2.78,2.86,2.74,2.86,2895210,1
2016-03-02 07:00:00,2.86,2.88,2.82,2.84,3284990,1
2016-03-03 07:00:00,2.86,2.86,2.82,2.84,1442570,1
2016-03-04 07:00:00,2.84,2.86,2.82,2.84,2484770,1
2016-03-07 07:00:00,2.82,2.84,2.8,2.8,1340280,1
2016-03-08 07:00:00,2.8,2.8,2.78,2.8,983480,1
2016-03-09 07:00:00,2.8,2.84,2.8,2.82,2562210,1
2016-03-10 07:00:00,2.82,2.84,2.8,2.84,942020,1
2016-03-11 07:00:00,2.84,2.84,2.8,2.82,521390,1
2016-03-14 07:00:00,2.8,2.82,2.78,2.78,1047150,1
2016-03-15 07:00:00,2.8,2.8,2.76,2.78,1392220,1
2016-03-16 07:00:00,2.78,2.78,2.76,2.78,865420,1
2016-03-17 07:00:00,2.78,2.8,2.76,2.8,1405990,1
2016-03-18 07:00:00,2.78,2.8,2.78,2.8,178560,1
2016-03-21 07:00:00,2.78,2.8,2.76,2.78,905900,1
2016-03-22 07:00:00,2.78,2.8,2.76,2.76,793030,1
2016-03-23 07:00:00,2.78,2.78,2.76,2.76,163970,1
2016-03-24 07:00:00,2.76,2.78,2.74,2.74,993310,1
2016-03-25 07:00:00,2.74,2.76,2.74,2.76,1182470,1
2016-03-28 07:00:00,2.76,2.76,2.74,2.76,997270,1
2016-03-29 07:00:00,2.76,2.76,2.74,2.74,477670,1
2016-03-30 07:00:00,2.74,2.76,2.71,2.73,1120520,1
2016-03-31 07:00:00,2.73,2.74,2.71,2.71,726580,1
2016-04-01 07:00:00,2.71,2.71,2.65,2.67,891250,1
2016-04-04 07:00:00,2.67,2.69,2.65,2.67,433560,1
2016-04-05 07:00:00,2.67,2.71,2.67,2.69,1346100,1
2016-04-06 07:00:00,2.69,2.74,2.69,2.74,1164720,1
2016-04-07 07:00:00,2.73,2.76,2.71,2.74,752910,1
2016-04-08 07:00:00,2.74,2.74,2.71,2.73,802720,1
2016-04-11 07:00:00,2.73,2.74,2.71,2.74,362830,1
2016-04-12 07:00:00,2.74,2.74,2.71,2.73,690290,1
2016-04-13 07:00:00,2.71,2.73,2.69,2.73,646590,1
2016-04-14 07:00:00,2.71,2.74,2.71,2.74,322470,1
2016-04-15 07:00:00,2.73,2.74,2.71,2.71,114010,1
2016-04-19 07:00:00,2.71,2.73,2.69,2.73,449390,1
2016-04-20 07:00:00,2.73,2.74,2.71,2.74,666740,1
2016-04-21 07:00:00,2.73,2.76,2.71,2.76,578270,1
2016-04-22 07:00:00,2.76,2.84,2.74,2.82,1772530,1
2016-04-25 07:00:00,2.8,2.84,2.78,2.82,1110890,1
2016-04-26 07:00:00,2.78,2.84,2.78,2.82,806090,1
2016-04-27 07:00:00,2.78,2.82,2.78,2.78,1021140,1
2016-04-28 07:00:00,2.8,2.8,2.78,2.8,765550,1
2016-04-29 07:00:00,2.82,2.86,2.82,2.86,2274370,1
2016-05-04 07:00:00,2.86,2.86,2.82,2.86,1662640,1
2016-05-05 07:00:00,2.84,2.86,2.84,2.86,1051560,1
2016-05-06 07:00:00,2.86,2.9,2.84,2.9,2218380,1
2016-05-09 07:00:00,2.9,2.92,2.86,2.9,1338960,1
2016-05-10 07:00:00,2.84,2.9,2.82,2.88,536500,1
2016-05-11 07:00:00,2.88,2.9,2.88,2.9,1009960,1
2016-05-12 07:00:00,2.9,2.9,2.86,2.86,323970,1
2016-05-13 07:00:00,2.86,2.88,2.86,2.86,305860,1
2016-05-16 07:00:00,2.86,2.86,2.84,2.84,323540,1
2016-05-17 07:00:00,2.84,2.86,2.84,2.84,503250,1
2016-05-18 07:00:00,2.86,2.93,2.84,2.9,3482360,1
2016-05-19 07:00:00,2.9,2.97,2.88,2.95,5671620,1
2016-05-20 07:00:00,2.95,3.01,2.93,2.97,4827930,1
2016-05-23 07:00:00,2.97,2.97,2.92,2.92,1439500,1
2016-05-24 07:00:00,2.9,2.95,2.88,2.93,2236940,1
2016-05-25 07:00:00,2.93,2.93,2.88,2.88,578150,1
2016-05-26 07:00:00,2.88,2.9,2.88,2.9,769830,1
2016-05-27 07:00:00,2.9,2.93,2.88,2.92,2244640,1
2016-05-30 07:00:00,2.92,2.95,2.92,2.95,2200360,1
2016-05-31 07:00:00,2.95,2.97,2.92,2.95,929600,1
2016-06-01 07:00:00,2.97,2.97,2.93,2.95,3260700,1
2016-06-02 07:00:00,2.93,2.95,2.93,2.95,2942460,1
2016-06-03 07:00:00,2.95,2.95,2.92,2.92,377530,1
2016-06-06 07:00:00,2.92,2.93,2.9,2.9,1163570,1
2016-06-07 07:00:00,2.9,2.93,2.9,2.93,1630160,1
2016-06-08 07:00:00,2.93,2.95,2.92,2.92,1536150,1
2016-06-09 07:00:00,2.92,2.95,2.9,2.93,1437310,1
2016-06-10 07:00:00,2.93,3.01,2.92,2.92,4844400,1
2016-06-13 07:00:00,2.92,2.92,2.9,2.9,86100,1
2016-06-14 07:00:00,2.9,2.92,2.9,2.9,86120,1
2016-06-15 07:00:00,2.92,2.92,2.86,2.9,290950,1
2016-06-16 07:00:00,2.92,2.92,2.88,2.88,248630,1
2016-06-17 07:00:00,2.88,2.9,2.86,2.88,207250,1
2016-06-20 07:00:00,2.9,2.9,2.86,2.86,73780,1
2016-06-21 07:00:00,2.88,2.88,2.86,2.86,128320,1
2016-06-22 07:00:00,2.88,2.88,2.84,2.84,258250,1
2016-06-23 07:00:00,2.86,2.86,2.84,2.84,135800,1
2016-06-24 07:00:00,2.88,2.88,2.71,2.82,1158300,1
2016-06-27 07:00:00,2.76,2.82,2.76,2.82,298250,1
2016-06-28 07:00:00,2.82,2.84,2.8,2.82,77680,1
2016-06-29 07:00:00,2.84,2.86,2.84,2.84,270460,1
2016-06-30 07:00:00,2.84,2.84,2.82,2.82,197840,1
2016-07-01 07:00:00,2.82,2.84,2.8,2.84,266490,1
2016-07-04 07:00:00,2.82,2.86,2.82,2.84,675550,1
2016-07-05 07:00:00,2.84,2.9,2.84,2.88,714190,1
2016-07-06 07:00:00,2.86,2.88,2.86,2.86,151690,1
2016-07-07 07:00:00,2.86,2.88,2.86,2.86,282910,1
2016-07-08 07:00:00,2.9,2.9,2.86,2.86,244820,1
2016-07-11 07:00:00,2.86,2.88,2.84,2.88,271860,1
2016-07-12 07:00:00,2.88,2.88,2.84,2.84,547160,1
2016-07-13 07:00:00,2.86,2.9,2.84,2.9,694230,1
2016-07-14 07:00:00,2.9,2.99,2.9,2.93,811590,1
2016-07-15 07:00:00,2.92,2.95,2.9,2.93,188540,1
2016-07-18 07:00:00,2.93,2.95,2.9,2.93,336030,1
2016-07-19 07:00:00,2.9,2.92,2.88,2.88,411690,1
2016-07-20 07:00:00,2.88,2.9,2.86,2.86,210730,1
2016-07-21 07:00:00,2.86,2.9,2.86,2.88,252560,1
2016-07-22 07:00:00,2.88,2.88,2.84,2.88,510450,1
2016-07-25 07:00:00,2.86,2.88,2.84,2.84,291070,1
2016-07-26 07:00:00,2.9,2.9,2.86,2.86,170970,1
2016-07-27 07:00:00,2.86,2.9,2.86,2.88,181100,1
2016-07-28 07:00:00,2.88,2.88,2.86,2.86,205210,1
2016-07-29 07:00:00,2.88,2.88,2.84,2.84,384340,1
2016-08-01 07:00:00,2.86,2.86,2.84,2.84,361240,1
2016-08-02 07:00:00,2.84,2.86,2.82,2.82,235060,1
2016-08-03 07:00:00,2.84,2.84,2.8,2.82,116370,1
2016-08-04 07:00:00,2.82,2.82,2.8,2.8,364470,1
2016-08-05 07:00:00,2.78,2.8,2.78,2.8,166710,1
2016-08-08 07:00:00,2.8,2.82,2.8,2.8,90900,1
2016-08-09 07:00:00,2.8,2.82,2.8,2.8,144450,1
2016-08-10 07:00:00,2.82,2.84,2.8,2.82,210330,1
2016-08-11 07:00:00,2.84,2.84,2.82,2.84,242300,1
2016-08-12 07:00:00,2.86,2.86,2.82,2.82,75350,1
2016-08-15 07:00:00,2.84,2.84,2.8,2.82,54990,1
2016-08-16 07:00:00,2.82,2.82,2.8,2.8,140970,1
2016-08-17 07:00:00,2.8,2.84,2.8,2.82,238470,1
2016-08-18 07:00:00,2.8,2.84,2.8,2.82,394730,1
2016-08-19 07:00:00,2.82,2.84,2.8,2.8,121050,1
2016-08-22 07:00:00,2.8,2.82,2.8,2.8,141770,1
2016-08-23 07:00:00,2.8,2.82,2.8,2.8,102320,1
2016-08-24 07:00:00,2.8,2.82,2.8,2.8,140110,1
2016-08-25 07:00:00,2.8,2.82,2.8,2.82,62590,1
2016-08-26 07:00:00,2.82,2.82,2.8,2.82,138190,1
2016-08-29 07:00:00,2.8,2.82,2.8,2.8,130930,1
2016-08-30 07:00:00,2.82,2.82,2.8,2.8,118860,1
2016-08-31 07:00:00,2.8,2.82,2.8,2.8,116320,1
2016-09-01 07:00:00,2.8,2.8,2.78,2.8,126170,1
2016-09-05 07:00:00,2.8,2.8,2.78,2.78,104740,1
2016-09-06 07:00:00,2.8,2.8,2.78,2.78,180810,1
2016-09-07 07:00:00,2.78,2.8,2.78,2.8,67690,1
2016-09-08 07:00:00,2.8,2.82,2.8,2.82,196110,1
2016-09-09 07:00:00,2.82,2.82,2.8,2.82,240610,1
