date,open,high,low,close,volume,is_trading_day
2015-09-28 07:00:00,6.88,6.94,6.82,6.88,25880,1
2015-09-29 07:00:00,6.77,6.82,6.77,6.77,12490,1
2015-09-30 07:00:00,6.82,6.94,6.77,6.82,35050,1
2015-10-01 07:00:00,6.82,6.88,6.77,6.88,18210,1
2015-10-02 07:00:00,6.88,6.94,6.82,6.94,25160,1
2015-10-05 07:00:00,6.88,6.99,6.82,6.99,56170,1
2015-10-06 07:00:00,7.05,7.38,7.05,7.27,132300,1
2015-10-07 07:00:00,7.38,7.55,7.33,7.38,132400,1
2015-10-08 07:00:00,7.49,7.89,7.49,7.83,180880,1
2015-10-09 07:00:00,7.83,7.83,7.49,7.61,100870,1
2015-10-12 07:00:00,7.61,7.66,7.38,7.44,115070,1
2015-10-13 07:00:00,7.38,7.77,7.33,7.49,137020,1
2015-10-14 07:00:00,7.49,7.72,7.49,7.55,65500,1
2015-10-15 07:00:00,7.55,7.72,7.55,7.66,154090,1
2015-10-16 07:00:00,7.66,8.0,7.61,7.83,283290,1
2015-10-19 07:00:00,7.94,7.94,7.77,7.89,86440,1
2015-10-20 07:00:00,7.89,7.89,7.66,7.72,111340,1
2015-10-21 07:00:00,7.72,7.72,7.49,7.49,122980,1
2015-10-22 07:00:00,7.44,7.66,7.44,7.61,83430,1
2015-10-23 07:00:00,7.55,7.72,7.55,7.61,57590,1
2015-10-26 07:00:00,7.66,7.72,7.55,7.61,72600,1
2015-10-27 07:00:00,7.55,7.61,7.49,7.55,53190,1
2015-10-28 07:00:00,7.49,7.61,7.49,7.61,58040,1
2015-10-29 07:00:00,7.66,8.11,7.66,8.11,581760,1
2015-10-30 07:00:00,8.17,8.39,8.17,8.28,359290,1
2015-11-02 07:00:00,8.28,8.28,8.05,8.17,203870,1
2015-11-03 07:00:00,8.11,8.22,7.94,8.22,244920,1
2015-11-04 07:00:00,8.22,8.28,8.17,8.17,134640,1
2015-11-05 07:00:00,8.17,8.5,8.05,8.39,207670,1
2015-11-06 07:00:00,8.33,8.33,8.11,8.17,121410,1
2015-11-09 07:00:00,8.22,8.39,8.05,8.28,205020,1
2015-11-10 07:00:00,8.22,8.28,8.11,8.22,174100,1
2015-11-11 07:00:00,8.22,8.28,8.17,8.28,69900,1
2015-11-12 07:00:00,8.28,8.5,8.28,8.5,459340,1
2015-11-13 07:00:00,8.5,8.84,8.5,8.73,290520,1
2015-11-16 07:00:00,8.67,8.95,8.61,8.89,340740,1
2015-11-17 07:00:00,8.89,8.95,8.67,8.73,310040,1
2015-11-18 07:00:00,8.67,8.78,8.61,8.78,70270,1
2015-11-19 07:00:00,8.78,8.78,8.67,8.73,113010,1
2015-11-20 07:00:00,8.73,8.89,8.73,8.84,211960,1
2015-11-23 07:00:00,9.0,9.12,8.95,9.06,224070,1
2015-11-24 07:00:00,9.06,9.28,9.0,9.17,264330,1
2015-11-25 07:00:00,9.17,9.28,8.95,9.23,163740,1
2015-11-26 07:00:00,9.28,9.28,9.06,9.06,199810,1
2015-11-27 07:00:00,9.06,9.12,8.61,8.67,383380,1
2015-11-30 07:00:00,8.61,8.67,8.33,8.39,198970,1
2015-12-01 07:00:00,8.39,8.61,8.33,8.45,57370,1
2015-12-02 07:00:00,8.39,8.61,8.39,8.56,42420,1
2015-12-03 07:00:00,8.5,8.61,8.45,8.5,35740,1
2015-12-04 07:00:00,8.39,8.56,8.28,8.5,125740,1
2015-12-07 07:00:00,8.5,8.5,8.39,8.45,48280,1
2015-12-08 07:00:00,8.39,8.73,8.28,8.61,111010,1
2015-12-09 07:00:00,8.5,8.61,8.33,8.39,99560,1
2015-12-10 07:00:00,8.45,8.5,8.28,8.28,51590,1
2015-12-11 07:00:00,8.28,8.45,8.22,8.45,45980,1
2015-12-14 07:00:00,8.39,8.5,8.33,8.5,53090,1
2015-12-15 07:00:00,8.5,8.56,8.45,8.56,100200,1
2015-12-16 07:00:00,8.61,8.89,8.56,8.78,304540,1
2015-12-17 07:00:00,8.78,8.84,8.73,8.84,305780,1
2015-12-18 07:00:00,8.78,8.84,8.78,8.78,86030,1
2015-12-21 07:00:00,8.73,8.84,8.67,8.84,93740,1
2015-12-22 07:00:00,8.78,8.84,8.61,8.73,236520,1
2015-12-23 07:00:00,8.67,8.84,8.67,8.78,182850,1
2015-12-24 07:00:00,8.78,8.84,8.73,8.84,57330,1
2015-12-25 07:00:00,8.84,8.84,8.67,8.67,51660,1
2015-12-28 07:00:00,8.67,8.95,8.61,8.89,316120,1
2015-12-29 07:00:00,8.84,8.95,8.84,8.89,109910,1
2015-12-30 07:00:00,8.89,9.06,8.89,9.06,264060,1
2015-12-31 07:00:00,8.89,9.0,8.73,8.78,398870,1
2016-01-04 07:00:00,8.89,9.0,8.73,8.84,396020,1
2016-01-05 07:00:00,8.84,8.84,8.67,8.84,98210,1
2016-01-06 07:00:00,8.78,8.84,8.73,8.78,76610,1
2016-01-07 07:00:00,8.73,8.73,8.39,8.5,222750,1
2016-01-08 07:00:00,8.45,8.5,8.17,8.39,97350,1
2016-01-11 07:00:00,8.33,8.39,8.17,8.28,96610,1
2016-01-12 07:00:00,8.17,8.39,8.17,8.39,72520,1
2016-01-13 07:00:00,8.45,8.45,8.33,8.33,58300,1
2016-01-14 07:00:00,8.22,8.28,8.11,8.22,177250,1
2016-01-15 07:00:00,8.22,8.22,8.11,8.11,103340,1
2016-01-18 07:00:00,8.0,8.05,7.55,7.72,222550,1
2016-01-19 07:00:00,7.72,7.94,7.66,7.94,86980,1
2016-01-20 07:00:00,7.94,7.94,7.77,7.83,49190,1
2016-01-21 07:00:00,7.83,7.83,7.66,7.72,65230,1
2016-01-22 07:00:00,7.72,7.83,7.49,7.61,94540,1
2016-01-25 07:00:00,7.94,8.05,7.77,8.05,175000,1
2016-01-26 07:00:00,7.94,8.0,7.83,7.94,59150,1
2016-01-27 07:00:00,7.94,8.0,7.89,8.0,55080,1
2016-01-28 07:00:00,8.0,8.0,7.83,7.83,32570,1
2016-01-29 07:00:00,7.83,8.05,7.83,8.05,149010,1
2016-02-01 07:00:00,7.94,8.11,7.94,8.05,105090,1
2016-02-02 07:00:00,8.0,8.11,8.0,8.05,51310,1
2016-02-03 07:00:00,7.94,8.05,7.94,8.05,38030,1
2016-02-04 07:00:00,8.05,8.17,8.05,8.05,46320,1
2016-02-05 07:00:00,8.11,8.22,8.05,8.22,41110,1
2016-02-15 07:00:00,8.05,8.17,8.0,8.11,41340,1
2016-02-16 07:00:00,8.11,8.11,8.0,8.11,79510,1
2016-02-17 07:00:00,8.11,8.17,8.05,8.05,91360,1
2016-02-18 07:00:00,8.05,8.39,8.05,8.33,133790,1
2016-02-19 07:00:00,8.39,8.39,8.28,8.28,52460,1
2016-02-22 07:00:00,8.33,8.5,8.33,8.5,132720,1
2016-02-23 07:00:00,8.61,8.73,8.56,8.61,265520,1
2016-02-24 07:00:00,8.61,8.73,8.5,8.67,61870,1
2016-02-25 07:00:00,8.67,8.73,8.5,8.5,197130,1
2016-02-26 07:00:00,8.5,8.61,8.45,8.45,137910,1
2016-02-29 07:00:00,8.56,8.56,8.39,8.39,140520,1
2016-03-01 07:00:00,8.45,8.5,8.39,8.45,109110,1
2016-03-02 07:00:00,8.45,8.84,8.45,8.84,393160,1
2016-03-03 07:00:00,8.84,8.84,8.78,8.84,86750,1
2016-03-04 07:00:00,8.78,9.06,8.73,8.89,339340,1
2016-03-07 07:00:00,8.89,8.95,8.78,8.84,132110,1
2016-03-08 07:00:00,8.84,8.89,8.73,8.78,107410,1
2016-03-09 07:00:00,8.73,8.84,8.73,8.73,109120,1
2016-03-10 07:00:00,8.73,8.84,8.73,8.84,105310,1
2016-03-11 07:00:00,8.84,8.95,8.78,8.89,210430,1
2016-03-14 07:00:00,8.89,9.0,8.84,8.89,90150,1
2016-03-15 07:00:00,8.89,8.89,8.78,8.89,113840,1
2016-03-16 07:00:00,8.84,8.84,8.61,8.61,298870,1
2016-03-17 07:00:00,8.67,8.73,8.5,8.61,195920,1
2016-03-18 07:00:00,8.61,8.67,8.56,8.61,79290,1
2016-03-21 07:00:00,8.73,8.84,8.67,8.73,177050,1
2016-03-22 07:00:00,8.73,8.78,8.61,8.61,73360,1
2016-03-23 07:00:00,8.67,8.73,8.61,8.73,81460,1
2016-03-24 07:00:00,8.78,8.84,8.67,8.78,166690,1
2016-03-25 07:00:00,8.78,8.84,8.73,8.78,93810,1
2016-03-28 07:00:00,8.84,8.84,8.73,8.73,85470,1
2016-03-29 07:00:00,8.67,8.78,8.61,8.67,101140,1
2016-03-30 07:00:00,8.56,8.67,8.56,8.61,30870,1
2016-03-31 07:00:00,8.61,8.67,8.45,8.45,59990,1
2016-04-01 07:00:00,8.5,8.5,8.39,8.45,76360,1
2016-04-04 07:00:00,8.45,8.5,8.39,8.39,34900,1
2016-04-05 07:00:00,8.39,8.5,8.39,8.5,35210,1
2016-04-06 07:00:00,8.5,8.56,8.39,8.45,33560,1
2016-04-07 07:00:00,8.5,8.56,8.45,8.5,44780,1
2016-04-08 07:00:00,8.5,8.61,8.45,8.56,101900,1
2016-04-11 07:00:00,8.56,8.67,8.56,8.61,96990,1
2016-04-12 07:00:00,8.61,8.67,8.5,8.56,41990,1
2016-04-13 07:00:00,8.5,8.61,8.45,8.5,32250,1
2016-04-14 07:00:00,8.45,8.5,8.39,8.45,65170,1
2016-04-15 07:00:00,8.33,8.56,8.33,8.5,82180,1
2016-04-19 07:00:00,8.5,8.5,8.28,8.28,56650,1
2016-04-20 07:00:00,8.22,8.28,8.17,8.28,49000,1
2016-04-21 07:00:00,8.28,8.28,8.17,8.28,27270,1
2016-04-22 07:00:00,8.17,8.33,8.17,8.28,29540,1
2016-04-25 07:00:00,8.61,8.61,8.45,8.61,135550,1
2016-04-26 07:00:00,8.61,8.67,8.56,8.56,110320,1
2016-04-27 07:00:00,8.5,8.61,8.45,8.5,49610,1
2016-04-28 07:00:00,8.5,8.5,8.39,8.5,40980,1
2016-04-29 07:00:00,8.39,8.5,8.39,8.39,37930,1
2016-05-04 07:00:00,8.39,8.84,8.39,8.67,322850,1
2016-05-05 07:00:00,8.73,8.78,8.61,8.78,341280,1
2016-05-06 07:00:00,8.9,9.01,8.9,8.95,225130,1
2016-05-09 07:00:00,8.95,9.07,8.84,8.95,243600,1
2016-05-10 07:00:00,8.95,8.95,8.84,8.9,125390,1
2016-05-11 07:00:00,8.95,8.95,8.84,8.95,128100,1
2016-05-12 07:00:00,8.9,8.95,8.78,8.84,73160,1
2016-05-13 07:00:00,8.9,8.9,8.67,8.67,113660,1
2016-05-16 07:00:00,8.67,8.78,8.61,8.67,42770,1
2016-05-17 07:00:00,8.67,8.78,8.61,8.78,103450,1
2016-05-18 07:00:00,8.78,8.9,8.72,8.78,41930,1
2016-05-19 07:00:00,8.78,8.84,8.72,8.72,57210,1
2016-05-20 07:00:00,8.67,8.84,8.67,8.78,42320,1
2016-05-23 07:00:00,8.9,9.12,8.84,9.12,803880,1
2016-05-24 07:00:00,9.29,9.58,9.29,9.52,588980,1
2016-05-25 07:00:00,9.52,9.58,9.47,9.58,184200,1
2016-05-26 07:00:00,9.52,9.64,9.41,9.41,279620,1
2016-05-27 07:00:00,9.41,9.69,9.35,9.64,428880,1
2016-05-30 07:00:00,9.69,9.75,9.64,9.75,185160,1
2016-05-31 07:00:00,9.75,9.86,9.75,9.81,156180,1
2016-06-01 07:00:00,9.81,9.81,9.69,9.75,89680,1
2016-06-02 07:00:00,9.75,9.75,9.69,9.75,120220,1
2016-06-03 07:00:00,9.75,10.09,9.75,10.04,303770,1
2016-06-06 07:00:00,10.09,10.55,10.09,10.49,555590,1
2016-06-07 07:00:00,10.66,10.95,10.61,10.89,365940,1
2016-06-08 07:00:00,10.95,10.95,10.72,10.78,283670,1
2016-06-09 07:00:00,10.72,10.72,10.43,10.55,304660,1
2016-06-10 07:00:00,10.61,10.72,10.49,10.72,125150,1
2016-06-13 07:00:00,10.72,10.72,10.61,10.72,123360,1
2016-06-14 07:00:00,10.74,11.43,10.63,11.43,313590,1
2016-06-15 07:00:00,11.54,11.54,11.31,11.37,164120,1
2016-06-16 07:00:00,11.43,11.77,11.37,11.66,118040,1
2016-06-17 07:00:00,11.54,11.77,11.2,11.43,154070,1
2016-06-20 07:00:00,11.89,12.23,11.89,12.23,288080,1
2016-06-21 07:00:00,12.57,12.57,12.11,12.34,264300,1
2016-06-22 07:00:00,12.34,12.46,12.11,12.34,99510,1
2016-06-23 07:00:00,12.23,13.14,12.23,13.14,448580,1
2016-06-24 07:00:00,13.14,14.06,12.23,13.94,877910,1
2016-06-27 07:00:00,13.71,13.94,13.14,13.94,201010,1
2016-06-28 07:00:00,13.6,13.83,13.49,13.6,135670,1
2016-06-29 07:00:00,13.49,14.29,13.49,14.29,299110,1
2016-06-30 07:00:00,14.29,14.51,14.06,14.06,136970,1
2016-07-01 07:00:00,14.06,14.29,13.94,14.06,254340,1
2016-07-04 07:00:00,14.29,14.29,13.94,14.17,204000,1
2016-07-05 07:00:00,14.29,14.29,14.06,14.06,170630,1
2016-07-06 07:00:00,13.94,14.06,13.71,14.06,189000,1
2016-07-07 07:00:00,14.29,14.97,14.06,14.97,452050,1
2016-07-08 07:00:00,14.97,15.2,14.74,14.86,121180,1
2016-07-11 07:00:00,14.74,15.54,14.74,15.09,222850,1
2016-07-12 07:00:00,15.09,15.43,14.74,15.43,183060,1
2016-07-13 07:00:00,15.54,16.11,15.54,16.0,207820,1
2016-07-14 07:00:00,16.0,16.46,15.89,16.0,233920,1
2016-07-15 07:00:00,16.0,16.11,15.2,15.66,278440,1
2016-07-18 07:00:00,15.77,16.0,15.66,15.89,224360,1
2016-07-19 07:00:00,16.0,16.0,15.54,16.0,255690,1
2016-07-20 07:00:00,15.89,15.89,15.2,15.2,280260,1
2016-07-21 07:00:00,15.2,15.43,14.51,14.74,266080,1
2016-07-22 07:00:00,14.63,15.43,14.17,15.43,384670,1
2016-07-25 07:00:00,15.43,15.43,14.86,15.2,67230,1
2016-07-26 07:00:00,15.2,15.2,14.86,14.86,56150,1
2016-07-27 07:00:00,14.86,14.97,14.74,14.86,57150,1
2016-07-28 07:00:00,14.86,15.43,14.74,15.2,120870,1
2016-07-29 07:00:00,15.2,15.54,15.2,15.31,102870,1
2016-08-01 07:00:00,15.31,15.43,14.86,14.86,202820,1
2016-08-02 07:00:00,14.74,14.74,14.17,14.17,160680,1
2016-08-03 07:00:00,13.94,14.29,13.94,14.17,175840,1
2016-08-04 07:00:00,14.74,14.86,14.51,14.74,149850,1
2016-08-05 07:00:00,14.74,15.2,14.74,15.09,156700,1
2016-08-08 07:00:00,15.31,15.31,15.09,15.09,81890,1
2016-08-09 07:00:00,15.09,15.31,14.97,14.97,99040,1
2016-08-10 07:00:00,14.97,15.31,14.86,15.09,154070,1
