date,open,high,low,close,volume,is_trading_day
2015-09-28 07:00:00,3.49,3.51,3.44,3.44,1233190,1
2015-09-29 07:00:00,3.44,3.44,3.35,3.42,1243780,1
2015-09-30 07:00:00,3.42,3.47,3.37,3.42,1143970,1
2015-10-01 07:00:00,3.42,3.44,3.37,3.39,882050,1
2015-10-02 07:00:00,3.39,3.47,3.35,3.44,1600780,1
2015-10-05 07:00:00,3.42,3.47,3.39,3.42,221920,1
2015-10-06 07:00:00,3.42,3.44,3.32,3.32,185980,1
2015-10-07 07:00:00,3.32,3.44,3.25,3.35,437470,1
2015-10-08 07:00:00,3.32,3.44,3.32,3.42,583200,1
2015-10-09 07:00:00,3.39,3.42,3.3,3.32,867880,1
2015-10-12 07:00:00,3.32,3.35,3.32,3.35,487170,1
2015-10-13 07:00:00,3.35,3.35,3.28,3.35,946470,1
2015-10-14 07:00:00,3.32,3.35,3.23,3.28,1431300,1
2015-10-15 07:00:00,3.25,3.39,3.2,3.37,1243860,1
2015-10-16 07:00:00,3.32,3.37,3.28,3.3,1072460,1
2015-10-19 07:00:00,3.3,3.3,3.23,3.28,1375560,1
2015-10-20 07:00:00,3.25,3.28,3.13,3.18,1065050,1
2015-10-21 07:00:00,3.18,3.2,3.06,3.09,999750,1
2015-10-22 07:00:00,3.09,3.28,3.09,3.28,819760,1
2015-10-23 07:00:00,3.28,3.32,3.23,3.25,1000240,1
2015-10-26 07:00:00,3.23,3.35,3.23,3.25,818560,1
2015-10-27 07:00:00,3.23,3.25,3.16,3.25,902770,1
2015-10-28 07:00:00,3.2,3.25,3.04,3.09,1533810,1
2015-10-29 07:00:00,3.06,3.11,2.87,2.87,548720,1
2015-10-30 07:00:00,2.92,3.06,2.9,3.01,561440,1
2015-11-02 07:00:00,3.01,3.16,3.01,3.16,825170,1
2015-11-03 07:00:00,3.16,3.18,3.11,3.13,751520,1
2015-11-04 07:00:00,3.13,3.16,3.06,3.13,684720,1
2015-11-05 07:00:00,3.11,3.18,3.09,3.16,1274940,1
2015-11-06 07:00:00,3.16,3.16,3.09,3.09,886200,1
2015-11-09 07:00:00,3.06,3.09,3.01,3.06,898980,1
2015-11-10 07:00:00,3.06,3.06,2.99,3.04,504390,1
2015-11-11 07:00:00,3.04,3.09,3.01,3.09,621830,1
2015-11-12 07:00:00,3.06,3.09,3.01,3.06,539430,1
2015-11-13 07:00:00,3.06,3.09,2.99,3.09,650630,1
2015-11-16 07:00:00,3.06,3.16,3.04,3.16,710780,1
2015-11-17 07:00:00,3.16,3.25,3.16,3.2,1252400,1
2015-11-18 07:00:00,3.18,3.2,3.13,3.16,678980,1
2015-11-19 07:00:00,3.16,3.35,3.16,3.35,1527640,1
2015-11-20 07:00:00,3.32,3.47,3.32,3.44,1947870,1
2015-11-23 07:00:00,3.42,3.44,3.37,3.39,929710,1
2015-11-24 07:00:00,3.37,3.39,3.3,3.35,766390,1
2015-11-25 07:00:00,3.32,3.35,3.25,3.3,805530,1
2015-11-26 07:00:00,3.3,3.32,3.28,3.32,603580,1
2015-11-27 07:00:00,3.32,3.32,3.2,3.2,365170,1
2015-11-30 07:00:00,3.2,3.23,3.16,3.2,209480,1
2015-12-01 07:00:00,3.2,3.23,3.09,3.13,482840,1
2015-12-02 07:00:00,3.13,3.18,3.06,3.09,744860,1
2015-12-03 07:00:00,3.06,3.09,2.99,3.09,530040,1
2015-12-04 07:00:00,3.09,3.11,3.01,3.06,323370,1
2015-12-07 07:00:00,3.06,3.09,3.04,3.09,245010,1
2015-12-08 07:00:00,3.06,3.11,3.04,3.09,425750,1
2015-12-09 07:00:00,3.06,3.11,3.01,3.09,484200,1
2015-12-10 07:00:00,3.06,3.11,3.01,3.06,436240,1
2015-12-11 07:00:00,3.06,3.09,3.01,3.09,518320,1
2015-12-14 07:00:00,3.06,3.11,3.01,3.11,582620,1
2015-12-15 07:00:00,3.09,3.13,3.06,3.09,390450,1
2015-12-16 07:00:00,3.09,3.16,3.06,3.16,785990,1
2015-12-17 07:00:00,3.18,3.18,3.09,3.13,673570,1
2015-12-18 07:00:00,3.13,3.2,3.09,3.2,1519740,1
2015-12-21 07:00:00,3.18,3.18,3.13,3.13,718940,1
2015-12-22 07:00:00,3.11,3.16,3.09,3.11,392800,1
2015-12-23 07:00:00,3.11,3.11,3.04,3.06,492340,1
2015-12-24 07:00:00,3.06,3.11,3.06,3.11,491270,1
2015-12-25 07:00:00,3.09,3.13,3.09,3.13,393290,1
2015-12-28 07:00:00,3.11,3.13,3.06,3.06,522080,1
2015-12-29 07:00:00,3.06,3.13,3.06,3.11,522690,1
2015-12-30 07:00:00,3.09,3.13,3.06,3.13,573120,1
2015-12-31 07:00:00,3.11,3.18,3.11,3.16,558010,1
2016-01-04 07:00:00,3.16,3.2,3.13,3.16,528700,1
2016-01-05 07:00:00,3.11,3.18,3.11,3.16,449930,1
2016-01-06 07:00:00,3.13,3.2,3.13,3.2,604560,1
2016-01-07 07:00:00,3.18,3.23,3.13,3.23,512340,1
2016-01-08 07:00:00,3.2,3.23,3.16,3.2,378460,1
2016-01-11 07:00:00,3.2,3.23,3.16,3.16,463020,1
2016-01-12 07:00:00,3.13,3.2,3.13,3.2,431940,1
2016-01-13 07:00:00,3.18,3.23,3.16,3.18,438330,1
2016-01-14 07:00:00,3.18,3.18,3.11,3.16,462830,1
2016-01-15 07:00:00,3.13,3.18,3.11,3.11,324870,1
2016-01-18 07:00:00,3.13,3.13,3.04,3.06,379250,1
2016-01-19 07:00:00,3.04,3.13,3.04,3.13,270370,1
2016-01-20 07:00:00,3.09,3.11,3.04,3.04,274450,1
2016-01-21 07:00:00,3.04,3.04,2.99,3.04,298500,1
2016-01-22 07:00:00,3.01,3.13,3.01,3.09,630270,1
2016-01-25 07:00:00,3.06,3.13,3.06,3.11,381870,1
2016-01-26 07:00:00,3.09,3.11,3.06,3.06,505750,1
2016-01-27 07:00:00,3.06,3.11,3.06,3.09,464200,1
2016-01-28 07:00:00,3.09,3.11,3.06,3.09,507480,1
2016-01-29 07:00:00,3.09,3.09,3.06,3.09,503870,1
2016-02-01 07:00:00,3.09,3.09,3.04,3.06,302890,1
2016-02-02 07:00:00,3.06,3.06,3.04,3.06,396900,1
2016-02-03 07:00:00,3.04,3.06,3.04,3.06,401710,1
2016-02-04 07:00:00,3.06,3.11,3.04,3.09,396620,1
2016-02-05 07:00:00,3.06,3.13,3.06,3.09,464200,1
2016-02-15 07:00:00,3.06,3.06,3.04,3.06,223820,1
2016-02-16 07:00:00,3.06,3.06,3.04,3.06,268250,1
2016-02-17 07:00:00,3.09,3.09,3.04,3.09,305320,1
2016-02-18 07:00:00,3.06,3.11,3.06,3.11,453770,1
2016-02-19 07:00:00,3.09,3.09,3.06,3.09,397810,1
2016-02-22 07:00:00,3.06,3.11,3.06,3.09,422930,1
2016-02-23 07:00:00,3.06,3.11,3.06,3.09,309630,1
2016-02-24 07:00:00,3.06,3.11,3.06,3.11,630310,1
2016-02-25 07:00:00,3.06,3.11,3.06,3.09,479300,1
2016-02-26 07:00:00,3.06,3.11,3.06,3.11,741430,1
2016-02-29 07:00:00,3.09,3.13,3.09,3.11,562530,1
2016-03-01 07:00:00,3.16,3.25,3.09,3.23,917610,1
2016-03-02 07:00:00,3.25,3.32,3.25,3.32,864120,1
2016-03-03 07:00:00,3.28,3.32,3.28,3.3,655390,1
2016-03-04 07:00:00,3.32,3.32,3.28,3.3,541310,1
2016-03-07 07:00:00,3.3,3.47,3.3,3.44,914830,1
2016-03-08 07:00:00,3.39,3.51,3.39,3.47,774460,1
2016-03-09 07:00:00,3.42,3.47,3.37,3.37,800190,1
2016-03-10 07:00:00,3.37,3.44,3.35,3.39,776240,1
2016-03-11 07:00:00,3.35,3.42,3.32,3.37,663230,1
2016-03-14 07:00:00,3.35,3.39,3.32,3.37,545120,1
2016-03-15 07:00:00,3.32,3.37,3.3,3.35,660650,1
2016-03-16 07:00:00,3.35,3.42,3.35,3.37,633030,1
2016-03-17 07:00:00,3.37,3.42,3.3,3.39,758610,1
2016-03-18 07:00:00,3.39,3.42,3.28,3.28,1251720,1
2016-03-21 07:00:00,3.32,3.44,3.3,3.42,745350,1
2016-03-22 07:00:00,3.39,3.42,3.37,3.39,853920,1
2016-03-23 07:00:00,3.39,3.42,3.32,3.39,697430,1
2016-03-24 07:00:00,3.37,3.44,3.35,3.39,813820,1
2016-03-25 07:00:00,3.39,3.42,3.35,3.39,638040,1
2016-03-28 07:00:00,3.39,3.58,3.37,3.56,1516960,1
2016-03-29 07:00:00,3.54,3.66,3.51,3.58,970830,1
2016-03-30 07:00:00,3.54,3.58,3.49,3.54,597950,1
2016-03-31 07:00:00,3.54,3.58,3.49,3.54,1040720,1
2016-04-01 07:00:00,3.54,3.56,3.49,3.54,571970,1
2016-04-04 07:00:00,3.51,3.56,3.49,3.54,885540,1
2016-04-05 07:00:00,3.54,3.63,3.54,3.56,684740,1
2016-04-06 07:00:00,3.56,3.58,3.54,3.56,580900,1
2016-04-07 07:00:00,3.56,3.58,3.51,3.58,978100,1
2016-04-08 07:00:00,3.58,3.61,3.54,3.61,841640,1
2016-04-11 07:00:00,3.66,3.7,3.63,3.7,1540500,1
2016-04-12 07:00:00,3.68,3.7,3.66,3.68,897240,1
2016-04-13 07:00:00,3.7,3.77,3.68,3.75,1174940,1
2016-04-14 07:00:00,3.73,3.8,3.7,3.77,950820,1
2016-04-15 07:00:00,3.75,3.77,3.73,3.75,870700,1
2016-04-19 07:00:00,3.73,3.73,3.66,3.68,841310,1
2016-04-20 07:00:00,3.68,3.68,3.61,3.61,647590,1
2016-04-21 07:00:00,3.61,3.66,3.58,3.63,845890,1
2016-04-22 07:00:00,3.63,3.63,3.51,3.58,1134740,1
2016-04-25 07:00:00,3.58,3.63,3.49,3.49,788920,1
2016-04-26 07:00:00,3.49,3.54,3.44,3.47,814430,1
2016-04-27 07:00:00,3.44,3.47,3.32,3.32,814230,1
2016-04-28 07:00:00,3.3,3.37,3.3,3.32,655480,1
2016-04-29 07:00:00,3.32,3.42,3.32,3.42,675680,1
2016-05-04 07:00:00,3.37,3.42,3.35,3.42,456520,1
2016-05-05 07:00:00,3.42,3.44,3.35,3.35,501880,1
2016-05-06 07:00:00,3.37,3.49,3.37,3.47,1049220,1
2016-05-09 07:00:00,3.44,3.49,3.39,3.47,1006400,1
2016-05-10 07:00:00,3.44,3.47,3.39,3.47,558210,1
2016-05-11 07:00:00,3.47,3.51,3.44,3.47,757700,1
2016-05-12 07:00:00,3.47,3.47,3.42,3.44,515240,1
2016-05-13 07:00:00,3.42,3.47,3.39,3.47,627270,1
2016-05-16 07:00:00,3.47,3.49,3.44,3.49,554000,1
2016-05-17 07:00:00,3.51,3.56,3.49,3.56,726940,1
2016-05-18 07:00:00,3.58,3.66,3.56,3.58,609240,1
2016-05-19 07:00:00,3.58,3.58,3.54,3.56,458710,1
2016-05-20 07:00:00,3.56,3.63,3.51,3.51,515880,1
2016-05-23 07:00:00,3.51,3.56,3.49,3.51,427840,1
2016-05-24 07:00:00,3.51,3.51,3.49,3.51,429820,1
2016-05-25 07:00:00,3.49,3.58,3.49,3.56,684030,1
2016-05-26 07:00:00,3.61,3.7,3.58,3.58,939890,1
2016-05-27 07:00:00,3.58,3.66,3.56,3.61,507370,1
2016-05-30 07:00:00,3.61,3.66,3.58,3.58,540240,1
2016-05-31 07:00:00,3.56,3.56,3.51,3.54,450230,1
2016-06-01 07:00:00,3.54,3.54,3.47,3.51,542580,1
2016-06-02 07:00:00,3.51,3.54,3.44,3.49,495860,1
2016-06-03 07:00:00,3.49,3.51,3.44,3.47,445760,1
2016-06-06 07:00:00,3.44,3.49,3.42,3.44,359210,1
2016-06-07 07:00:00,3.42,3.44,3.39,3.44,412970,1
2016-06-08 07:00:00,3.44,3.54,3.44,3.49,759430,1
2016-06-09 07:00:00,3.49,3.49,3.44,3.49,265360,1
2016-06-10 07:00:00,3.49,3.54,3.47,3.49,587050,1
2016-06-13 07:00:00,3.49,3.49,3.42,3.42,438910,1
2016-06-14 07:00:00,3.42,3.44,3.39,3.44,439330,1
2016-06-15 07:00:00,3.42,3.44,3.42,3.42,370360,1
2016-06-16 07:00:00,3.39,3.49,3.39,3.47,822420,1
2016-06-17 07:00:00,3.47,3.51,3.42,3.51,804070,1
2016-06-20 07:00:00,3.51,3.54,3.44,3.51,506180,1
2016-06-21 07:00:00,3.51,3.51,3.42,3.47,397120,1
2016-06-22 07:00:00,3.44,3.47,3.39,3.44,500440,1
2016-06-23 07:00:00,3.42,3.44,3.42,3.42,323640,1
2016-06-24 07:00:00,3.42,3.42,3.23,3.37,910250,1
2016-06-27 07:00:00,3.32,3.32,3.25,3.28,175900,1
2016-06-28 07:00:00,3.28,3.28,3.25,3.25,288660,1
2016-06-29 07:00:00,3.23,3.32,3.23,3.32,425630,1
2016-06-30 07:00:00,3.28,3.32,3.28,3.28,543640,1
2016-07-01 07:00:00,3.25,3.32,3.25,3.3,424760,1
