date,open,high,low,close,volume,is_trading_day
2015-12-08 07:00:00,6.46,6.57,6.4,6.51,2111780,1
2015-12-09 07:00:00,6.51,6.54,6.37,6.37,1465550,1
2015-12-10 07:00:00,6.4,6.43,6.37,6.37,1558860,1
2015-12-11 07:00:00,6.34,6.43,6.32,6.32,1448270,1
2015-12-14 07:00:00,6.48,6.54,6.4,6.46,3494550,1
2015-12-15 07:00:00,6.48,6.57,6.46,6.51,2678080,1
2015-12-16 07:00:00,6.54,6.57,6.46,6.46,773930,1
2015-12-17 07:00:00,6.51,6.51,6.43,6.43,627550,1
2015-12-18 07:00:00,6.43,6.51,6.4,6.51,18905770,1
2015-12-21 07:00:00,6.48,6.48,6.34,6.37,2024770,1
2015-12-22 07:00:00,6.37,6.43,6.34,6.34,1126230,1
2015-12-23 07:00:00,6.34,6.4,6.29,6.32,566140,1
2015-12-24 07:00:00,6.34,6.34,6.26,6.26,889900,1
2015-12-25 07:00:00,6.26,6.32,6.2,6.26,1014020,1
2015-12-28 07:00:00,6.26,6.32,6.2,6.2,1052150,1
2015-12-29 07:00:00,6.23,6.32,6.15,6.29,802650,1
2015-12-30 07:00:00,6.29,6.37,6.29,6.32,1063370,1
2015-12-31 07:00:00,6.34,6.34,6.23,6.26,803870,1
2016-01-04 07:00:00,6.23,6.29,6.12,6.12,792410,1
2016-01-05 07:00:00,6.0,6.12,5.89,5.89,2280930,1
2016-01-06 07:00:00,5.98,6.0,5.84,5.89,1278950,1
2016-01-07 07:00:00,5.89,5.89,5.67,5.72,2847940,1
2016-01-08 07:00:00,5.7,5.7,5.55,5.58,2369240,1
2016-01-11 07:00:00,5.64,5.72,5.58,5.61,2644860,1
2016-01-12 07:00:00,5.64,5.84,5.64,5.84,2131760,1
2016-01-13 07:00:00,5.89,5.98,5.75,5.84,1721020,1
2016-01-14 07:00:00,5.75,5.78,5.58,5.7,3155970,1
2016-01-15 07:00:00,5.7,5.72,5.58,5.58,2085960,1
2016-01-18 07:00:00,5.38,5.5,5.24,5.38,4832670,1
2016-01-19 07:00:00,5.38,5.5,5.38,5.44,2315540,1
2016-01-20 07:00:00,5.47,5.5,5.38,5.41,1239520,1
2016-01-21 07:00:00,5.41,5.47,5.33,5.36,2249060,1
2016-01-22 07:00:00,5.47,5.53,5.36,5.53,2494970,1
2016-01-25 07:00:00,5.64,5.89,5.61,5.89,4101660,1
2016-01-26 07:00:00,5.78,5.84,5.67,5.72,1832860,1
2016-01-27 07:00:00,5.78,5.86,5.78,5.78,1387190,1
2016-01-28 07:00:00,5.78,5.84,5.72,5.72,1534940,1
2016-01-29 07:00:00,5.75,5.81,5.7,5.78,1215980,1
2016-02-01 07:00:00,5.78,5.84,5.72,5.72,1562130,1
2016-02-02 07:00:00,5.7,5.75,5.67,5.72,1218740,1
2016-02-03 07:00:00,5.67,5.78,5.64,5.75,1113320,1
2016-02-04 07:00:00,5.75,5.84,5.75,5.81,1418510,1
2016-02-05 07:00:00,5.81,6.0,5.78,5.92,3966490,1
2016-02-15 07:00:00,5.81,5.92,5.81,5.86,2791950,1
2016-02-16 07:00:00,5.86,5.92,5.86,5.89,1705150,1
2016-02-17 07:00:00,5.89,6.03,5.89,5.92,3541920,1
2016-02-18 07:00:00,5.92,5.98,5.89,5.98,1917220,1
2016-02-19 07:00:00,5.98,6.03,5.95,5.98,1886420,1
2016-02-22 07:00:00,6.0,6.29,5.95,6.29,5858100,1
2016-02-23 07:00:00,6.37,6.48,6.29,6.32,4567270,1
2016-02-24 07:00:00,6.26,6.48,6.26,6.43,3131860,1
2016-02-25 07:00:00,6.43,6.46,6.29,6.32,4508900,1
2016-02-26 07:00:00,6.34,6.4,6.29,6.34,1938460,1
2016-02-29 07:00:00,6.34,6.43,6.34,6.34,1766130,1
2016-03-01 07:00:00,6.4,6.46,6.34,6.4,2165530,1
2016-03-02 07:00:00,6.46,6.57,6.43,6.54,4934030,1
2016-03-03 07:00:00,6.57,6.6,6.46,6.51,3256240,1
2016-03-04 07:00:00,6.48,6.51,6.43,6.43,2761180,1
2016-03-07 07:00:00,6.43,6.48,6.4,6.4,2239800,1
2016-03-08 07:00:00,6.4,6.43,6.32,6.32,2719170,1
2016-03-09 07:00:00,6.32,6.37,6.29,6.34,1487850,1
2016-03-10 07:00:00,6.34,6.48,6.34,6.46,2111220,1
2016-03-11 07:00:00,6.46,6.48,6.4,6.43,2197080,1
2016-03-14 07:00:00,6.43,6.46,6.37,6.4,2321160,1
2016-03-15 07:00:00,6.4,6.43,6.32,6.34,1960410,1
2016-03-16 07:00:00,6.34,6.37,6.29,6.29,1566050,1
2016-03-17 07:00:00,6.34,6.37,6.26,6.26,1671800,1
2016-03-18 07:00:00,6.29,6.32,6.2,6.2,6334410,1
2016-03-21 07:00:00,6.26,6.32,6.2,6.2,1879070,1
2016-03-22 07:00:00,6.2,6.23,6.09,6.09,1893670,1
2016-03-23 07:00:00,6.09,6.15,6.06,6.12,1966260,1
2016-03-24 07:00:00,6.12,6.29,6.09,6.15,2916260,1
2016-03-25 07:00:00,6.15,6.2,6.03,6.09,1686730,1
2016-03-28 07:00:00,6.12,6.12,6.06,6.09,934420,1
2016-03-29 07:00:00,6.09,6.09,5.89,5.95,4117880,1
2016-03-30 07:00:00,5.92,6.06,5.92,6.0,2057640,1
2016-03-31 07:00:00,6.0,6.06,5.92,5.95,2005320,1
2016-04-01 07:00:00,5.95,6.0,5.89,5.98,1877190,1
2016-04-04 07:00:00,5.98,6.03,5.92,6.0,1364350,1
2016-04-05 07:00:00,6.0,6.12,6.0,6.12,1810570,1
2016-04-06 07:00:00,6.12,6.17,6.12,6.15,1448590,1
2016-04-07 07:00:00,6.17,6.23,6.15,6.17,1745780,1
2016-04-08 07:00:00,6.15,6.2,6.12,6.12,2195720,1
2016-04-11 07:00:00,6.12,6.23,6.12,6.17,2214310,1
2016-04-12 07:00:00,6.17,6.2,6.15,6.15,1695110,1
2016-04-13 07:00:00,6.15,6.17,6.09,6.12,1777940,1
2016-04-14 07:00:00,6.12,6.17,6.09,6.12,1749110,1
2016-04-15 07:00:00,6.15,6.2,6.09,6.09,1525590,1
2016-04-19 07:00:00,6.09,6.12,5.95,6.0,2583780,1
