date,open,high,low,close,volume,is_trading_day
2015-11-26 07:00:00,13.76,13.82,13.64,13.64,281040,1
2015-11-27 07:00:00,13.55,13.64,13.25,13.31,673400,1
2015-11-30 07:00:00,13.28,13.31,12.89,12.89,977620,1
2015-12-01 07:00:00,12.92,13.04,12.62,12.65,880030,1
2015-12-02 07:00:00,12.65,12.83,12.62,12.68,1737010,1
2015-12-03 07:00:00,12.62,12.95,12.62,12.8,986090,1
2015-12-04 07:00:00,12.89,12.89,12.65,12.71,483880,1
2015-12-07 07:00:00,12.65,12.65,12.23,12.26,1415520,1
2015-12-08 07:00:00,12.26,12.98,12.02,12.95,909680,1
2015-12-09 07:00:00,12.95,12.95,12.38,12.44,892100,1
2015-12-10 07:00:00,12.44,12.56,12.32,12.38,406020,1
2015-12-11 07:00:00,12.38,12.59,12.26,12.41,579040,1
2015-12-14 07:00:00,12.47,12.59,12.38,12.5,634120,1
2015-12-15 07:00:00,12.5,13.1,12.5,12.98,1248200,1
2015-12-16 07:00:00,13.07,13.28,13.01,13.07,663090,1
2015-12-17 07:00:00,13.13,13.28,13.1,13.22,675360,1
2015-12-18 07:00:00,13.07,13.25,12.38,12.38,3155650,1
2015-12-21 07:00:00,12.62,12.77,12.62,12.77,1032900,1
2015-12-22 07:00:00,12.83,12.89,12.71,12.77,502820,1
2015-12-23 07:00:00,12.62,12.8,12.62,12.74,846590,1
2015-12-24 07:00:00,12.8,12.86,12.68,12.68,228290,1
2015-12-25 07:00:00,12.71,12.89,12.68,12.77,587920,1
2015-12-28 07:00:00,12.86,12.92,12.77,12.77,431580,1
2015-12-29 07:00:00,12.77,13.25,12.74,13.22,1440210,1
2015-12-30 07:00:00,13.25,13.49,13.19,13.31,1125780,1
2015-12-31 07:00:00,13.37,13.37,13.16,13.19,749830,1
2016-01-04 07:00:00,13.1,13.22,12.8,12.98,761750,1
2016-01-05 07:00:00,12.89,13.04,12.74,12.77,1133260,1
2016-01-06 07:00:00,12.77,12.98,12.77,12.92,699490,1
2016-01-07 07:00:00,12.86,12.89,12.62,12.77,935460,1
2016-01-08 07:00:00,12.71,12.8,12.53,12.68,676340,1
2016-01-11 07:00:00,12.68,12.74,12.56,12.59,742390,1
2016-01-12 07:00:00,12.62,12.83,12.62,12.83,481040,1
2016-01-13 07:00:00,12.86,12.89,12.71,12.71,448800,1
2016-01-14 07:00:00,12.56,12.68,12.47,12.56,641380,1
2016-01-15 07:00:00,12.56,12.62,12.2,12.2,880150,1
2016-01-18 07:00:00,11.87,12.02,11.41,11.6,1614080,1
2016-01-19 07:00:00,11.6,12.14,11.6,12.11,771340,1
2016-01-20 07:00:00,11.96,12.32,11.87,12.02,733790,1
2016-01-21 07:00:00,11.87,12.02,11.75,11.84,654450,1
2016-01-22 07:00:00,12.02,12.05,11.6,11.9,777540,1
2016-01-25 07:00:00,12.02,12.59,12.02,12.53,1367810,1
2016-01-26 07:00:00,12.17,12.41,12.11,12.2,656340,1
2016-01-27 07:00:00,12.41,12.41,12.17,12.17,582060,1
2016-01-28 07:00:00,12.11,12.26,12.11,12.17,562170,1
2016-01-29 07:00:00,12.17,12.44,12.11,12.44,1019250,1
2016-02-01 07:00:00,12.44,12.47,12.23,12.23,223320,1
2016-02-02 07:00:00,12.23,12.26,12.11,12.14,603810,1
2016-02-03 07:00:00,12.02,12.02,11.81,11.9,802180,1
2016-02-04 07:00:00,12.02,12.2,12.02,12.02,286750,1
