date,open,high,low,close,volume,is_trading_day
2018-05-17 07:00:00,64.42,64.42,64.42,64.42,18000,1
2018-05-22 07:00:00,68.91,68.91,68.91,68.91,20,1
2018-05-23 07:00:00,66.75,66.75,64.13,64.3,4839580,1
2018-05-24 07:00:00,64.6,66.93,64.19,66.75,1937240,1
2018-05-25 07:00:00,66.93,69.9,66.75,68.5,1749720,1
2018-05-28 07:00:00,64.71,68.79,64.71,68.21,2944740,1
2018-05-29 07:00:00,68.21,68.33,65.94,67.63,884320,1
2018-05-30 07:00:00,67.63,68.21,65.88,68.21,2448260,1
2018-05-31 07:00:00,68.21,68.5,67.1,67.1,1178690,1
2018-06-01 07:00:00,67.1,68.5,66.75,67.92,814870,1
2018-06-04 07:00:00,67.63,68.74,67.34,68.74,1762630,1
2018-06-05 07:00:00,68.74,69.38,68.21,68.79,1229890,1
2018-06-06 07:00:00,68.5,70.48,68.21,69.96,712230,1
2018-06-07 07:00:00,71.13,71.13,65.06,69.96,1167210,1
2018-06-08 07:00:00,69.96,70.48,68.5,69.96,462940,1
2018-06-11 07:00:00,70.43,70.43,69.38,69.96,425790,1
2018-06-12 07:00:00,69.96,69.96,68.21,68.79,816310,1
2018-06-13 07:00:00,68.79,69.03,68.56,68.79,289590,1
2018-06-14 07:00:00,68.79,69.09,67.8,68.21,624230,1
2018-06-15 07:00:00,68.62,68.62,67.92,67.92,213150,1
2018-06-18 07:00:00,67.92,68.79,67.63,67.92,626280,1
2018-06-19 07:00:00,67.92,67.92,66.87,67.04,770730,1
2018-06-20 07:00:00,62.44,67.63,62.44,67.04,613980,1
2018-06-21 07:00:00,67.04,67.1,66.46,67.04,117280,1
2018-06-22 07:00:00,67.04,67.04,66.46,66.58,83230,1
2018-06-25 07:00:00,66.58,67.57,66.58,67.34,214260,1
2018-06-26 07:00:00,67.34,67.34,66.52,67.04,112440,1
2018-06-27 07:00:00,65.59,66.52,64.13,64.13,305740,1
2018-06-28 07:00:00,64.13,65.88,62.96,64.13,185920,1
2018-06-29 07:00:00,65.88,65.88,63.26,65.53,321730,1
2018-07-02 07:00:00,65.59,65.59,64.13,64.89,456190,1
2018-07-03 07:00:00,64.89,64.89,60.4,60.4,165430,1
2018-07-04 07:00:00,59.52,64.6,59.52,64.6,1358170,1
2018-07-05 07:00:00,64.6,67.04,64.6,66.46,1208630,1
2018-07-06 07:00:00,65.0,66.4,65.0,65.59,497040,1
2018-07-09 07:00:00,65.59,66.11,65.59,65.76,134390,1
2018-07-10 07:00:00,65.7,65.76,63.26,64.71,298180,1
2018-07-11 07:00:00,64.13,64.71,62.96,63.96,86370,1
2018-07-12 07:00:00,63.96,64.6,62.96,64.13,113470,1
2018-07-13 07:00:00,62.56,64.71,62.56,63.72,57420,1
2018-07-16 07:00:00,64.42,64.42,61.8,61.8,93750,1
2018-07-17 07:00:00,63.55,64.71,61.8,61.8,410540,1
2018-07-18 07:00:00,64.13,64.13,62.38,62.61,115930,1
2018-07-19 07:00:00,62.96,62.96,62.09,62.09,359780,1
2018-07-20 07:00:00,62.38,62.96,61.86,62.32,361710,1
2018-07-23 07:00:00,60.05,63.84,60.05,62.85,140470,1
2018-07-24 07:00:00,60.05,62.79,60.05,62.09,52950,1
2018-07-25 07:00:00,62.38,62.38,61.45,62.09,123900,1
2018-07-26 07:00:00,62.09,62.85,61.8,61.8,205970,1
2018-07-27 07:00:00,61.8,62.09,61.22,61.74,67370,1
2018-07-30 07:00:00,61.8,64.42,61.22,64.42,324540,1
2018-07-31 07:00:00,65.3,65.3,63.43,64.3,170450,1
2018-08-01 07:00:00,64.3,64.36,63.26,63.31,320670,1
2018-08-02 07:00:00,64.07,64.07,63.31,63.43,265210,1
2018-08-03 07:00:00,63.66,63.96,63.26,63.55,398200,1
2018-08-06 07:00:00,63.55,63.61,63.43,63.55,182880,1
2018-08-07 07:00:00,63.55,63.55,62.38,62.67,160500,1
2018-08-08 07:00:00,62.67,63.43,62.67,62.96,134310,1
2018-08-09 07:00:00,62.96,63.55,62.96,63.37,285670,1
2018-08-10 07:00:00,63.55,63.55,61.8,62.32,120470,1
2018-08-13 07:00:00,63.2,63.2,62.32,62.67,1088420,1
2018-08-14 07:00:00,62.38,62.96,62.38,62.85,406610,1
2018-08-15 07:00:00,62.85,62.91,62.44,62.85,436300,1
2018-08-16 07:00:00,62.85,62.91,62.44,62.85,726220,1
2018-08-17 07:00:00,66.46,66.46,63.43,63.43,1125570,1
2018-08-20 07:00:00,64.95,64.95,63.43,63.43,575880,1
2018-08-21 07:00:00,63.43,64.42,63.43,64.07,741280,1
2018-08-22 07:00:00,64.07,64.6,63.9,64.07,415780,1
2018-08-23 07:00:00,64.13,65.35,64.13,65.24,1371780,1
2018-08-24 07:00:00,65.41,65.82,64.77,65.0,1340480,1
2018-08-27 07:00:00,65.24,65.24,64.89,65.0,913670,1
2018-08-28 07:00:00,65.0,65.0,64.42,64.71,817180,1
2018-08-29 07:00:00,64.71,64.71,63.14,63.14,303590,1
2018-08-30 07:00:00,62.96,62.96,62.09,62.61,409540,1
2018-08-31 07:00:00,62.61,64.83,60.63,60.63,3027640,1
2018-09-04 07:00:00,62.32,62.79,60.75,61.16,225530,1
2018-09-05 07:00:00,61.68,61.8,61.27,61.8,318560,1
2018-09-06 07:00:00,61.8,61.8,60.98,61.22,287240,1
2018-09-07 07:00:00,60.63,61.22,60.63,61.1,459090,1
2018-09-10 07:00:00,61.51,61.51,60.98,60.98,532950,1
2018-09-11 07:00:00,60.63,61.22,60.46,60.46,483770,1
2018-09-12 07:00:00,61.1,61.1,60.52,60.63,605640,1
2018-09-13 07:00:00,60.63,61.56,60.63,61.27,836910,1
2018-09-14 07:00:00,61.68,61.8,61.39,61.51,591790,1
2018-09-17 07:00:00,61.51,62.21,61.45,61.51,1287240,1
2018-09-18 07:00:00,61.51,61.51,60.63,60.98,207550,1
2018-09-19 07:00:00,61.45,61.45,60.05,60.98,258160,1
2018-09-20 07:00:00,61.22,61.22,60.57,61.22,336900,1
2018-09-21 07:00:00,60.98,61.27,59.17,59.17,8102520,1
2018-09-24 07:00:00,59.17,60.05,59.17,59.99,634680,1
2018-09-25 07:00:00,60.05,60.28,59.23,59.7,472130,1
2018-09-26 07:00:00,59.47,59.76,59.41,59.41,473580,1
2018-09-27 07:00:00,60.05,60.92,60.05,60.63,525990,1
2018-09-28 07:00:00,61.51,61.8,60.98,61.8,846730,1
2018-10-01 07:00:00,62.09,62.44,60.11,60.11,523580,1
2018-10-02 07:00:00,60.81,61.22,60.52,60.63,534540,1
2018-10-03 07:00:00,61.16,61.16,59.41,59.47,467970,1
2018-10-04 07:00:00,60.63,60.63,59.82,59.82,331810,1
2018-10-05 07:00:00,60.63,60.63,59.52,59.52,304710,1
2018-10-08 07:00:00,60.11,60.47,58.29,58.29,265800,1
2018-10-09 07:00:00,59.16,59.89,58.29,58.29,267080,1
2018-10-10 07:00:00,59.38,59.38,58.29,58.36,378520,1
2018-10-11 07:00:00,56.1,58.43,54.72,55.74,736740,1
2018-10-12 07:00:00,55.74,57.56,55.37,56.1,666960,1
2018-10-15 07:00:00,56.1,56.1,53.19,53.26,505140,1
2018-10-16 07:00:00,53.26,54.72,53.26,54.35,349810,1
2018-10-17 07:00:00,55.59,56.1,54.64,55.66,300010,1
2018-10-18 07:00:00,55.66,55.95,55.01,55.08,146220,1
2018-10-19 07:00:00,54.35,55.44,53.91,54.5,282610,1
2018-10-22 07:00:00,54.5,55.01,54.42,54.42,252630,1
2018-10-23 07:00:00,53.77,54.28,53.48,53.99,136760,1
2018-10-24 07:00:00,53.55,54.06,52.82,52.82,233830,1
2018-10-25 07:00:00,49.91,51.15,49.54,49.91,479440,1
2018-10-26 07:00:00,49.91,50.27,46.48,47.36,1004220,1
2018-10-29 07:00:00,45.54,46.34,44.44,45.03,338080,1
2018-10-30 07:00:00,43.79,45.9,43.71,45.24,574230,1
2018-10-31 07:00:00,45.39,48.38,45.39,48.38,1099060,1
2018-11-01 07:00:00,47.43,51.0,47.43,50.27,871070,1
2018-11-02 07:00:00,51.0,53.77,51.0,52.46,1170010,1
2018-11-05 07:00:00,53.19,53.77,51.73,52.46,758430,1
2018-11-06 07:00:00,53.19,53.19,51.73,52.46,379000,1
2018-11-07 07:00:00,52.75,52.97,51.58,52.97,298710,1
2018-11-08 07:00:00,53.48,54.42,53.19,54.42,481780,1
2018-11-09 07:00:00,54.28,55.81,53.91,55.37,520370,1
2018-11-12 07:00:00,54.93,55.52,54.72,55.37,274460,1
2018-11-13 07:00:00,53.26,55.37,53.26,55.23,271790,1
2018-11-14 07:00:00,55.23,55.37,54.64,55.23,284050,1
2018-11-15 07:00:00,54.5,55.23,54.28,55.01,301910,1
2018-11-16 07:00:00,54.28,54.57,51.36,51.87,788790,1
2018-11-19 07:00:00,52.09,53.11,50.93,53.11,323690,1
2018-11-20 07:00:00,52.53,55.01,52.53,54.64,500750,1
2018-11-21 07:00:00,54.64,55.23,53.33,55.23,451550,1
2018-11-22 07:00:00,55.01,56.83,54.64,56.1,504210,1
2018-11-23 07:00:00,56.1,56.68,55.44,55.44,89640,1
2018-11-26 07:00:00,55.37,56.32,55.01,56.1,301550,1
2018-11-27 07:00:00,56.46,57.27,56.39,57.05,399420,1
2018-11-28 07:00:00,56.83,57.12,56.46,57.05,170200,1
2018-11-29 07:00:00,57.19,57.48,57.12,57.34,473940,1
2018-11-30 07:00:00,57.34,57.48,55.37,56.68,593960,1
2018-12-03 07:00:00,57.19,57.34,56.61,56.61,194530,1
2018-12-04 07:00:00,56.83,60.47,56.83,59.74,700280,1
2018-12-05 07:00:00,58.29,60.11,58.29,58.8,384670,1
2018-12-06 07:00:00,59.01,59.67,58.65,59.31,256140,1
