date,open,high,low,close,volume,is_trading_day
2015-12-07 07:00:00,11.44,11.44,11.34,11.42,804560,1
2015-12-08 07:00:00,11.36,11.5,11.28,11.44,778590,1
2015-12-09 07:00:00,11.44,11.71,11.28,11.28,1356520,1
2015-12-10 07:00:00,11.28,11.42,11.15,11.15,622480,1
2015-12-11 07:00:00,11.15,11.23,11.15,11.2,680860,1
2015-12-14 07:00:00,11.2,11.23,11.09,11.15,614150,1
2015-12-15 07:00:00,11.12,11.26,11.12,11.2,376440,1
2015-12-16 07:00:00,11.28,11.42,11.23,11.26,522330,1
2015-12-17 07:00:00,11.34,11.42,11.28,11.31,575650,1
2015-12-18 07:00:00,11.31,11.36,10.8,10.8,2466150,1
2015-12-21 07:00:00,11.07,11.2,11.07,11.2,522360,1
2015-12-22 07:00:00,11.2,11.28,11.17,11.23,366380,1
2015-12-23 07:00:00,11.12,11.31,11.12,11.26,737670,1
2015-12-24 07:00:00,11.31,11.36,11.26,11.34,672060,1
2015-12-25 07:00:00,11.42,11.47,11.34,11.44,564790,1
2015-12-28 07:00:00,11.44,11.8,11.44,11.74,1494140,1
2015-12-29 07:00:00,11.74,12.28,11.61,12.28,2905940,1
2015-12-30 07:00:00,12.17,12.42,11.88,12.42,2836200,1
2015-12-31 07:00:00,12.28,12.42,12.17,12.34,3361900,1
2016-01-04 07:00:00,12.34,12.82,12.2,12.82,4809120,1
2016-01-05 07:00:00,12.69,12.88,12.63,12.82,2480100,1
2016-01-06 07:00:00,12.79,12.93,12.6,12.82,1976280,1
2016-01-07 07:00:00,12.63,13.01,12.55,12.96,2852010,1
2016-01-08 07:00:00,12.82,12.96,12.69,12.96,1641950,1
2016-01-11 07:00:00,12.96,13.25,12.85,13.04,1591300,1
2016-01-12 07:00:00,13.04,13.06,12.85,12.96,1030900,1
2016-01-13 07:00:00,12.96,12.96,12.74,12.93,2003030,1
2016-01-14 07:00:00,12.74,13.01,12.74,12.96,2616100,1
2016-01-15 07:00:00,12.98,12.98,12.79,12.82,931360,1
2016-01-18 07:00:00,12.63,12.85,12.15,12.82,2516720,1
2016-01-19 07:00:00,12.74,12.98,12.74,12.82,736420,1
2016-01-20 07:00:00,12.71,12.96,12.71,12.79,1569270,1
2016-01-21 07:00:00,12.88,12.96,12.77,12.9,2201170,1
2016-01-22 07:00:00,12.9,13.25,12.9,13.04,1432160,1
2016-01-25 07:00:00,13.09,13.09,12.96,13.04,1960040,1
2016-01-26 07:00:00,12.96,13.06,12.77,12.96,1779070,1
2016-01-27 07:00:00,12.79,12.85,12.66,12.82,3440360,1
2016-01-28 07:00:00,12.69,13.04,12.69,13.04,4244530,1
2016-01-29 07:00:00,12.96,13.01,12.74,12.85,2231860,1
2016-02-01 07:00:00,12.74,12.93,12.69,12.69,1133280,1
2016-02-02 07:00:00,12.63,12.74,12.6,12.69,1017260,1
2016-02-03 07:00:00,12.6,12.69,12.42,12.69,1102250,1
2016-02-04 07:00:00,12.69,12.82,12.69,12.69,404050,1
2016-02-05 07:00:00,12.52,12.69,12.52,12.58,895260,1
2016-02-15 07:00:00,12.55,12.58,12.28,12.28,685060,1
2016-02-16 07:00:00,12.47,12.47,12.28,12.31,392060,1
2016-02-17 07:00:00,12.5,12.5,12.28,12.28,259490,1
2016-02-18 07:00:00,12.42,12.47,12.34,12.42,595150,1
2016-02-19 07:00:00,12.39,12.39,11.96,12.17,1393710,1
2016-02-22 07:00:00,12.17,12.2,12.04,12.2,724960,1
2016-02-23 07:00:00,12.2,12.5,12.2,12.31,418590,1
2016-02-24 07:00:00,12.25,12.39,12.17,12.25,534860,1
2016-02-25 07:00:00,12.28,12.39,12.25,12.28,528840,1
2016-02-26 07:00:00,12.31,12.36,12.06,12.15,1235270,1
2016-02-29 07:00:00,12.15,12.15,11.9,11.9,259290,1
2016-03-01 07:00:00,11.93,12.04,11.77,11.9,956870,1
2016-03-02 07:00:00,11.98,12.17,11.93,12.15,560340,1
2016-03-03 07:00:00,12.2,12.28,12.15,12.25,491450,1
2016-03-04 07:00:00,12.25,12.42,12.2,12.36,802550,1
2016-03-07 07:00:00,12.36,12.55,12.28,12.36,557500,1
2016-03-08 07:00:00,12.31,12.52,12.31,12.52,1079780,1
2016-03-09 07:00:00,12.55,12.66,12.55,12.55,1123530,1
2016-03-10 07:00:00,12.55,12.63,12.52,12.55,575310,1
2016-03-11 07:00:00,12.55,12.55,12.25,12.25,560370,1
2016-03-14 07:00:00,12.2,12.28,12.15,12.25,346630,1
2016-03-15 07:00:00,12.25,12.42,12.09,12.15,1073480,1
2016-03-16 07:00:00,12.06,12.12,12.04,12.04,434350,1
2016-03-17 07:00:00,12.2,12.23,12.12,12.15,488110,1
2016-03-18 07:00:00,12.15,12.17,11.9,11.9,5451040,1
2016-03-21 07:00:00,12.06,12.31,12.06,12.2,1039980,1
2016-03-22 07:00:00,12.2,12.31,12.12,12.28,657090,1
2016-03-23 07:00:00,12.15,12.31,12.04,12.25,1615870,1
2016-03-24 07:00:00,12.25,12.28,12.15,12.17,510060,1
2016-03-25 07:00:00,12.15,12.42,12.15,12.36,1257200,1
2016-03-28 07:00:00,12.44,12.63,12.39,12.6,820660,1
2016-03-29 07:00:00,12.69,12.79,12.58,12.63,1482760,1
2016-03-30 07:00:00,12.39,12.69,12.39,12.69,650730,1
2016-03-31 07:00:00,12.52,12.85,12.52,12.74,1398070,1
2016-04-01 07:00:00,12.74,12.79,12.63,12.74,548420,1
2016-04-04 07:00:00,12.77,12.77,12.63,12.71,351710,1
2016-04-05 07:00:00,12.71,12.77,12.55,12.71,323780,1
2016-04-06 07:00:00,12.71,12.85,12.66,12.85,547050,1
2016-04-07 07:00:00,12.85,12.88,12.71,12.74,289730,1
2016-04-08 07:00:00,12.74,12.85,12.66,12.82,600280,1
2016-04-11 07:00:00,12.82,13.63,12.82,13.63,1288260,1
2016-04-12 07:00:00,14.04,14.17,13.77,14.04,1157120,1
2016-04-13 07:00:00,13.9,14.3,13.63,14.04,807840,1
2016-04-14 07:00:00,14.04,14.71,13.9,14.17,1075850,1
2016-04-15 07:00:00,14.17,14.71,14.04,14.04,1549470,1
2016-04-19 07:00:00,14.04,14.04,13.42,13.42,1021510,1
2016-04-20 07:00:00,13.42,13.77,13.42,13.63,1417390,1
2016-04-21 07:00:00,13.9,14.17,13.63,13.9,1196330,1
2016-04-22 07:00:00,13.9,14.84,13.9,14.71,1729690,1
2016-04-25 07:00:00,14.98,15.12,14.17,14.17,1404690,1
2016-04-26 07:00:00,14.17,14.71,14.17,14.58,724510,1
2016-04-27 07:00:00,14.84,14.84,14.04,14.3,974580,1
2016-04-28 07:00:00,14.3,14.44,14.04,14.04,520580,1
2016-04-29 07:00:00,14.17,14.3,14.04,14.17,421970,1
2016-05-04 07:00:00,13.9,14.17,13.77,13.77,755160,1
2016-05-05 07:00:00,13.9,14.3,13.9,13.9,413180,1
2016-05-06 07:00:00,14.04,14.17,14.04,14.17,813560,1
2016-05-09 07:00:00,14.3,14.3,14.04,14.04,786590,1
2016-05-10 07:00:00,14.04,14.04,13.77,14.04,698580,1
2016-05-11 07:00:00,14.04,14.44,14.04,14.44,865680,1
2016-05-12 07:00:00,14.58,14.71,14.44,14.44,469130,1
2016-05-13 07:00:00,14.58,14.58,14.3,14.44,793060,1
2016-05-16 07:00:00,14.44,14.98,14.3,14.84,1233650,1
2016-05-17 07:00:00,14.98,14.98,14.71,14.71,518280,1
2016-05-18 07:00:00,14.71,14.71,14.44,14.44,586250,1
2016-05-19 07:00:00,14.71,14.71,14.3,14.44,623940,1
2016-05-20 07:00:00,14.44,14.58,13.9,13.9,1554880,1
2016-05-23 07:00:00,14.04,14.04,13.63,14.04,1410160,1
2016-05-24 07:00:00,14.3,14.3,13.9,14.04,471240,1
2016-05-25 07:00:00,14.04,14.17,13.9,14.04,283630,1
2016-05-26 07:00:00,14.04,14.04,13.63,13.77,611130,1
2016-05-27 07:00:00,13.77,14.04,13.77,13.9,383940,1
2016-05-30 07:00:00,14.04,14.58,14.04,14.44,1078090,1
2016-05-31 07:00:00,14.44,14.58,14.17,14.17,418750,1
2016-06-01 07:00:00,14.3,14.44,14.17,14.44,469570,1
2016-06-02 07:00:00,14.44,14.58,14.3,14.44,510870,1
2016-06-03 07:00:00,14.44,14.58,14.3,14.58,345410,1
2016-06-06 07:00:00,14.58,14.71,14.3,14.44,295810,1
2016-06-07 07:00:00,14.44,14.71,14.44,14.71,401370,1
2016-06-08 07:00:00,14.71,15.12,14.58,14.71,1064310,1
2016-06-09 07:00:00,14.71,14.84,14.58,14.71,113090,1
2016-06-10 07:00:00,14.71,14.84,14.58,14.58,170630,1
2016-06-13 07:00:00,14.44,14.44,14.17,14.17,631990,1
2016-06-14 07:00:00,14.17,14.44,14.17,14.44,278210,1
2016-06-15 07:00:00,14.58,14.71,14.3,14.44,311910,1
2016-06-16 07:00:00,14.44,14.58,14.3,14.44,455360,1
2016-06-17 07:00:00,14.3,14.44,14.04,14.04,3234450,1
2016-06-20 07:00:00,14.17,14.58,14.04,14.44,231660,1
2016-06-21 07:00:00,14.58,14.71,14.44,14.58,333390,1
2016-06-22 07:00:00,14.58,14.58,14.17,14.17,464600,1
