date,open,high,low,close,volume,is_trading_day
2017-02-28 07:00:00,61.64,61.64,61.64,61.64,12030,1
2017-03-01 07:00:00,65.92,65.92,65.92,65.92,99100,1
2017-03-02 07:00:00,70.49,70.49,70.49,70.49,190550,1
2017-03-03 07:00:00,75.4,75.4,70.49,75.4,2750050,1
2017-03-06 07:00:00,76.48,78.76,75.4,78.42,1155300,1
2017-03-07 07:00:00,78.42,78.48,74.26,75.63,901520,1
2017-03-08 07:00:00,74.26,75.63,72.2,74.2,916200,1
2017-03-09 07:00:00,73.46,74.77,73.46,74.54,635920,1
2017-03-10 07:00:00,74.54,74.77,73.51,74.77,436480,1
2017-03-13 07:00:00,75.05,75.28,74.37,74.77,566660,1
2017-03-14 07:00:00,74.43,74.66,73.91,73.91,410150,1
2017-03-15 07:00:00,73.63,73.91,69.06,69.35,662540,1
2017-03-16 07:00:00,69.35,69.63,66.49,66.49,477810,1
2017-03-17 07:00:00,65.98,69.06,64.5,67.06,496260,1
2017-03-20 07:00:00,68.49,71.74,67.63,71.74,307470,1
2017-03-21 07:00:00,71.74,74.08,71.57,71.57,348100,1
2017-03-22 07:00:00,71.34,71.86,70.43,71.34,380360,1
2017-03-23 07:00:00,71.34,72.77,71.17,71.92,402040,1
2017-03-24 07:00:00,72.49,73.57,72.49,73.06,557630,1
2017-03-27 07:00:00,73.63,74.77,73.34,74.14,454930,1
2017-03-28 07:00:00,74.77,76.31,74.2,74.71,475680,1
2017-03-29 07:00:00,75.28,75.28,74.2,75.17,426200,1
2017-03-30 07:00:00,75.34,75.34,73.06,73.06,363980,1
2017-03-31 07:00:00,74.14,74.14,73.06,73.11,318710,1
2017-04-03 07:00:00,73.06,73.91,71.8,71.8,282490,1
2017-04-04 07:00:00,73.63,74.14,71.97,73.06,459220,1
2017-04-05 07:00:00,72.66,74.26,72.2,73.46,596140,1
2017-04-07 07:00:00,73.68,73.74,73.46,73.68,350370,1
2017-04-10 07:00:00,73.68,75.05,73.57,74.66,765530,1
2017-04-11 07:00:00,74.77,75.34,74.71,75.23,206460,1
2017-04-12 07:00:00,74.83,76.82,74.83,76.54,458390,1
2017-04-13 07:00:00,76.48,76.71,76.37,76.6,278260,1
2017-04-14 07:00:00,76.65,76.71,74.77,76.02,335130,1
2017-04-17 07:00:00,75.05,76.37,74.2,75.17,227200,1
2017-04-18 07:00:00,74.26,75.23,73.06,73.63,263970,1
2017-04-19 07:00:00,73.63,75.05,73.0,75.0,255600,1
2017-04-20 07:00:00,75.0,75.23,73.91,75.11,313760,1
2017-04-21 07:00:00,75.28,75.28,74.6,75.0,218910,1
2017-04-24 07:00:00,75.0,75.23,73.86,73.86,229020,1
2017-04-25 07:00:00,73.86,73.86,72.77,73.06,212370,1
2017-04-26 07:00:00,73.06,73.8,73.06,73.74,204330,1
2017-04-27 07:00:00,74.77,74.77,73.11,73.11,229050,1
2017-04-28 07:00:00,73.86,73.86,72.77,72.89,225640,1
2017-05-03 07:00:00,73.46,73.46,72.83,73.0,244220,1
2017-05-04 07:00:00,73.0,74.2,73.0,74.2,251660,1
2017-05-05 07:00:00,74.31,74.31,73.34,74.08,234430,1
2017-05-08 07:00:00,74.14,74.14,73.63,73.97,244970,1
2017-05-09 07:00:00,73.97,74.26,73.4,73.86,292990,1
2017-05-10 07:00:00,73.86,74.83,73.63,74.83,421080,1
2017-05-11 07:00:00,74.66,75.0,74.37,74.77,425720,1
2017-05-12 07:00:00,74.54,75.0,74.26,74.54,329590,1
2017-05-15 07:00:00,73.97,74.49,73.4,73.68,342370,1
2017-05-16 07:00:00,73.68,73.68,72.82,73.4,381790,1
2017-05-17 07:00:00,73.51,73.8,72.48,73.4,361550,1
2017-05-18 07:00:00,73.4,73.4,72.48,72.82,233910,1
2017-05-19 07:00:00,72.82,73.28,72.48,73.28,347600,1
2017-05-22 07:00:00,72.54,73.97,72.54,73.63,239240,1
2017-05-23 07:00:00,72.82,73.57,72.82,73.28,270840,1
2017-05-24 07:00:00,73.28,73.28,72.77,72.82,274860,1
2017-05-25 07:00:00,72.82,72.88,72.02,72.25,291450,1
2017-05-26 07:00:00,72.31,72.82,72.31,72.71,303420,1
2017-05-29 07:00:00,72.54,73.28,72.54,73.28,233250,1
2017-05-30 07:00:00,73.28,73.28,72.82,73.11,232230,1
2017-05-31 07:00:00,73.05,73.28,72.94,73.28,291420,1
2017-06-01 07:00:00,73.28,74.54,73.17,74.54,312300,1
2017-06-02 07:00:00,75.12,76.21,74.89,75.12,510930,1
2017-06-05 07:00:00,75.12,75.12,74.26,74.54,312740,1
2017-06-06 07:00:00,74.54,75.12,74.43,74.6,344530,1
2017-06-07 07:00:00,74.6,74.83,72.82,73.11,426910,1
2017-06-08 07:00:00,74.26,74.37,73.34,73.34,357620,1
2017-06-09 07:00:00,73.8,73.8,72.54,72.82,339470,1
2017-06-12 07:00:00,73.22,73.57,72.42,72.82,245880,1
2017-06-13 07:00:00,73.34,73.34,72.59,73.17,281730,1
2017-06-14 07:00:00,73.28,73.34,72.82,72.82,435260,1
2017-06-15 07:00:00,73.57,73.57,72.54,72.54,283740,1
2017-06-16 07:00:00,74.43,74.43,72.59,72.82,313250,1
2017-06-19 07:00:00,73.4,73.4,72.54,72.77,272510,1
2017-06-20 07:00:00,72.54,72.65,72.25,72.54,379170,1
2017-06-21 07:00:00,72.65,72.65,71.68,71.73,475110,1
2017-06-22 07:00:00,71.73,71.96,70.99,71.1,356330,1
2017-06-23 07:00:00,71.27,72.25,71.22,72.25,372950,1
2017-06-26 07:00:00,72.48,72.82,72.02,72.25,323890,1
2017-06-27 07:00:00,72.25,72.25,71.68,71.68,389390,1
2017-06-28 07:00:00,72.19,72.25,71.45,71.56,319150,1
2017-06-29 07:00:00,71.56,72.42,71.1,72.42,438090,1
2017-06-30 07:00:00,72.77,72.77,71.56,72.42,350710,1
2017-07-03 07:00:00,71.91,72.08,71.5,72.08,454070,1
2017-07-04 07:00:00,72.08,72.19,71.33,71.62,332550,1
2017-07-05 07:00:00,71.68,72.25,71.5,71.79,426320,1
2017-07-06 07:00:00,71.91,72.42,71.79,72.02,336670,1
2017-07-07 07:00:00,72.08,72.08,71.68,72.02,341050,1
2017-07-10 07:00:00,72.02,72.14,71.62,71.96,362320,1
2017-07-11 07:00:00,72.14,72.14,71.39,71.91,357210,1
2017-07-12 07:00:00,72.25,72.25,71.91,72.19,329150,1
2017-07-13 07:00:00,73.4,73.4,72.25,72.82,416390,1
2017-07-14 07:00:00,72.77,72.77,72.54,72.77,347800,1
2017-07-17 07:00:00,72.82,73.05,72.42,72.82,330980,1
2017-07-18 07:00:00,72.82,73.34,72.77,73.22,353040,1
2017-07-19 07:00:00,73.4,73.97,73.22,73.63,419060,1
2017-07-20 07:00:00,73.74,73.91,72.65,72.82,309660,1
2017-07-21 07:00:00,72.25,73.28,71.5,71.85,318860,1
2017-07-24 07:00:00,72.14,72.42,71.16,72.08,286290,1
2017-07-25 07:00:00,72.65,72.77,71.39,72.25,355920,1
2017-07-26 07:00:00,72.25,72.25,71.96,72.25,321700,1
2017-07-27 07:00:00,72.54,72.82,71.85,72.36,332120,1
2017-07-28 07:00:00,71.79,72.31,71.79,71.96,278820,1
2017-07-31 07:00:00,71.96,72.25,71.26,72.02,380240,1
2017-08-01 07:00:00,72.02,72.25,71.67,72.19,431080,1
2017-08-02 07:00:00,72.19,72.48,71.79,72.36,286260,1
2017-08-03 07:00:00,72.36,72.65,71.79,72.36,339110,1
2017-08-04 07:00:00,72.36,72.6,71.9,72.31,395560,1
2017-08-07 07:00:00,72.25,72.6,71.84,72.31,307930,1
2017-08-08 07:00:00,71.9,72.42,71.9,72.19,317700,1
2017-08-09 07:00:00,72.25,72.25,71.5,71.5,292800,1
2017-08-10 07:00:00,71.5,72.08,71.5,71.79,305130,1
2017-08-11 07:00:00,71.79,72.25,71.73,71.84,245250,1
2017-08-14 07:00:00,72.02,72.25,71.73,71.84,250460,1
2017-08-15 07:00:00,71.96,72.02,71.61,71.79,284780,1
2017-08-16 07:00:00,71.73,71.73,71.21,71.61,302220,1
2017-08-17 07:00:00,71.61,71.61,70.98,70.98,308670,1
2017-08-18 07:00:00,71.03,71.21,70.34,71.21,303490,1
2017-08-21 07:00:00,71.67,71.67,71.38,71.5,282290,1
2017-08-22 07:00:00,71.5,71.73,71.44,71.5,326570,1
2017-08-23 07:00:00,71.67,71.79,71.5,71.73,419780,1
2017-08-24 07:00:00,71.79,72.36,71.67,72.02,349560,1
2017-08-25 07:00:00,72.36,72.42,72.08,72.31,264360,1
2017-08-28 07:00:00,72.31,72.36,72.08,72.31,243790,1
2017-08-29 07:00:00,69.47,72.19,69.47,72.08,315850,1
2017-08-30 07:00:00,72.08,72.36,71.67,72.19,272460,1
2017-08-31 07:00:00,72.31,72.42,71.96,72.25,378560,1
2017-09-01 07:00:00,72.65,73.81,72.65,73.7,511500,1
2017-09-05 07:00:00,76.36,76.36,75.26,75.61,648500,1
2017-09-06 07:00:00,75.78,75.9,75.43,75.72,363650,1
2017-09-07 07:00:00,75.78,76.01,75.2,75.43,444640,1
2017-09-08 07:00:00,75.55,75.72,74.68,75.43,359290,1
2017-09-11 07:00:00,75.84,78.1,75.49,77.29,758160,1
2017-09-12 07:00:00,77.57,77.81,77.23,77.29,532340,1
2017-09-13 07:00:00,77.81,77.81,77.29,77.75,703600,1
2017-09-14 07:00:00,78.15,79.89,78.04,79.72,927040,1
2017-09-15 07:00:00,80.47,80.93,79.72,79.72,499750,1
2017-09-18 07:00:00,80.35,80.35,79.14,79.37,690620,1
2017-09-19 07:00:00,79.08,79.37,78.91,79.02,591800,1
2017-09-20 07:00:00,79.31,79.66,79.08,79.37,555060,1
2017-09-21 07:00:00,79.89,80.18,79.25,79.37,494270,1
2017-09-22 07:00:00,79.86,84.8,79.77,84.8,1501950,1
2017-09-25 07:00:00,85.04,89.57,85.04,88.6,1020440,1
2017-09-26 07:00:00,88.68,88.68,86.42,87.06,626990,1
2017-09-27 07:00:00,86.25,86.82,85.04,86.66,730420,1
2017-09-28 07:00:00,86.9,88.6,86.66,87.39,582800,1
2017-09-29 07:00:00,87.87,88.52,87.06,87.63,661960,1
2017-10-02 07:00:00,87.87,88.28,86.42,87.14,689450,1
2017-10-03 07:00:00,85.85,87.23,84.23,84.55,483790,1
2017-10-04 07:00:00,85.04,85.69,84.23,85.04,760210,1
2017-10-05 07:00:00,85.44,86.01,84.63,85.36,715080,1
2017-10-06 07:00:00,85.04,85.52,84.63,85.28,420930,1
2017-10-09 07:00:00,85.61,86.5,84.39,85.69,872200,1
2017-10-10 07:00:00,86.42,86.42,84.8,85.04,968770,1
2017-10-11 07:00:00,85.04,85.44,84.31,85.12,817170,1
2017-10-12 07:00:00,85.12,88.12,84.55,87.39,1771470,1
2017-10-13 07:00:00,87.71,87.87,87.31,87.47,549900,1
2017-10-16 07:00:00,87.79,90.14,87.63,89.98,1313370,1
2017-10-17 07:00:00,89.82,90.87,89.49,89.9,636220,1
2017-10-18 07:00:00,90.63,91.76,89.9,89.98,1294640,1
2017-10-19 07:00:00,90.14,90.95,89.66,90.06,764160,1
2017-10-20 07:00:00,90.46,91.27,89.74,90.14,756360,1
2017-10-23 07:00:00,90.14,90.22,88.28,88.28,728700,1
2017-10-24 07:00:00,87.87,88.85,87.63,88.28,477240,1
2017-10-25 07:00:00,88.68,89.01,87.55,88.68,564720,1
2017-10-26 07:00:00,88.85,89.09,88.28,88.68,784480,1
2017-10-27 07:00:00,88.85,91.6,88.85,91.6,2163450,1
2017-10-30 07:00:00,92.33,93.22,91.27,92.73,1058430,1
2017-10-31 07:00:00,92.33,92.73,90.79,91.36,519280,1
2017-11-01 07:00:00,91.11,92.25,90.71,92.08,869490,1
2017-11-02 07:00:00,91.36,93.14,90.3,90.55,1135110,1
2017-11-03 07:00:00,90.55,91.92,89.74,91.84,847640,1
2017-11-06 07:00:00,91.84,92.73,91.36,91.92,873460,1
2017-11-07 07:00:00,91.68,92.17,91.36,91.92,871000,1
2017-11-08 07:00:00,92.0,94.68,92.0,94.11,2318320,1
2017-11-09 07:00:00,93.7,95.81,93.7,94.92,1522300,1
2017-11-10 07:00:00,95.49,95.81,94.92,95.49,1195570,1
2017-11-13 07:00:00,95.16,95.41,94.19,94.84,1404700,1
2017-11-14 07:00:00,94.68,96.94,93.62,95.57,1860900,1
2017-11-15 07:00:00,96.38,96.86,95.57,95.57,1014950,1
2017-11-16 07:00:00,95.57,98.0,95.57,97.59,1114240,1
2017-11-17 07:00:00,97.59,98.24,96.38,97.59,1129950,1
2017-11-20 07:00:00,97.75,98.08,97.19,97.83,741040,1
2017-11-21 07:00:00,97.92,100.83,97.92,100.43,1914190,1
2017-11-22 07:00:00,100.51,102.37,100.51,102.05,993620,1
2017-11-23 07:00:00,102.05,106.01,100.43,105.2,1536830,1
2017-11-24 07:00:00,105.29,105.69,103.67,104.88,1088920,1
2017-11-27 07:00:00,104.56,105.2,103.42,104.72,1181500,1
2017-11-28 07:00:00,104.64,107.39,104.31,107.39,1781670,1
