date,open,high,low,close,volume,is_trading_day
2017-11-06 07:00:00,32.14,32.14,32.14,32.14,800,1
2017-11-10 07:00:00,34.36,34.36,34.36,34.36,31030,1
2017-11-13 07:00:00,36.73,36.73,36.73,36.73,132380,1
2017-11-14 07:00:00,39.27,39.27,36.73,37.25,15464870,1
2017-11-15 07:00:00,36.73,37.25,34.71,35.27,6550260,1
2017-11-16 07:00:00,35.27,35.27,33.88,34.87,5521990,1
2017-11-17 07:00:00,34.87,36.06,34.32,35.35,10742380,1
2017-11-20 07:00:00,36.14,37.8,35.66,37.8,3176670,1
2017-11-21 07:00:00,39.55,40.42,38.83,40.42,8062730,1
2017-11-22 07:00:00,40.82,42.8,39.94,40.89,7455670,1
2017-11-23 07:00:00,40.89,41.85,40.02,41.21,2316540,1
2017-11-24 07:00:00,40.82,41.29,40.02,40.1,2384820,1
2017-11-27 07:00:00,40.26,41.21,38.83,40.5,3451040,1
2017-11-28 07:00:00,41.13,41.13,39.23,39.47,2811900,1
2017-11-29 07:00:00,39.23,39.79,38.72,39.15,1595900,1
2017-11-30 07:00:00,38.83,38.83,37.92,38.83,3235960,1
2017-12-01 07:00:00,38.99,39.55,38.44,39.23,1312140,1
2017-12-04 07:00:00,39.55,39.63,38.72,39.23,1584010,1
2017-12-05 07:00:00,39.63,39.63,37.96,38.04,1980030,1
2017-12-06 07:00:00,38.36,38.44,37.01,37.33,1834150,1
2017-12-07 07:00:00,37.8,37.96,36.46,36.46,1067350,1
2017-12-08 07:00:00,36.3,37.76,35.19,37.25,1558790,1
2017-12-11 07:00:00,35.66,36.85,35.66,35.66,943290,1
2017-12-12 07:00:00,35.82,36.54,34.16,36.46,1598220,1
2017-12-13 07:00:00,36.46,36.54,35.98,36.34,883220,1
2017-12-14 07:00:00,36.22,36.3,35.58,35.82,1424710,1
2017-12-15 07:00:00,35.74,36.77,35.74,36.38,1761240,1
2017-12-18 07:00:00,36.93,37.17,36.38,36.69,2414320,1
2017-12-19 07:00:00,36.97,37.21,35.98,36.69,1297970,1
2017-12-20 07:00:00,36.46,36.62,36.14,36.3,1430200,1
2017-12-21 07:00:00,36.46,38.28,36.3,38.2,2896650,1
2017-12-22 07:00:00,38.2,38.72,37.88,37.88,962890,1
2017-12-25 07:00:00,37.88,38.04,37.25,37.25,881540,1
2017-12-26 07:00:00,37.41,38.4,37.09,38.04,1555640,1
2017-12-27 07:00:00,37.88,38.2,37.53,37.61,1103520,1
