signal_date,entry_date,exit_date,tickers,n_tickers,ret,per_ticker_ret
2023-05-12,2023-05-15,2023-05-26,GVR;HDB;TPB,3,0.006590337296447681,GVR:0.01226242;HDB:0.00505561;TPB:0.00245298
2023-05-15,2023-05-16,2023-05-29,GVR;KDH;SSI,3,0.05020333126761404,GVR:0.12347267;KDH:0.00491510;SSI:0.02222222
2023-05-16,2023-05-17,2023-05-30,KDH;SSI;VHM,3,0.031161293267488788,KDH:0.02215190;SSI:0.01960784;VHM:0.05172414
2023-05-17,2023-05-18,2023-05-31,HDB;HPG;SSI;STB,4,0.0005796739258742368,HDB:-0.01001001;HPG:-0.03243243;SSI:0.02450331;STB:0.02025783
2023-05-18,2023-05-19,2023-06-01,HDB;HPG;SSI,3,0.0014354499248626987,HDB:0.00300903;HPG:-0.02691790;SSI:0.02821522
2023-05-19,2023-05-22,2023-06-02,HDB;HPG;SSI;TPB;VHM,5,0.029510401540242714,HDB:0.04065041;HPG:-0.00950441;SSI:0.04274611;TPB:0.10275081;VHM:-0.02909091
2023-05-22,2023-05-23,2023-06-05,HDB;SSI;STB;TPB;VHM,5,0.03171463909597128,HDB:0.03018109;SSI:0.04749512;STB:-0.00531915;TPB:0.10089504;VHM:-0.01467890
2023-05-23,2023-05-24,2023-06-06,SSI;STB;VHM,3,0.04029856750034206,SSI:0.08597285;STB:0.01071429;VHM:0.02420857
2023-05-24,2023-05-25,2023-06-07,SSI;STB;VHM,3,0.05461478654805626,SSI:0.11059603;STB:0.04227941;VHM:0.01096892
2023-05-25,2023-05-26,2023-06-08,HDB;SSI;VHM,3,0.030978163421917993,HDB:0.00802407;SSI:0.07763769;VHM:0.00727273
2023-05-26,2023-05-29,2023-06-09,HDB;POW;STB;TPB;VHM,5,0.02444526095917356,HDB:-0.00600000;POW:0.01065719;STB:0.02554745;TPB:0.08293076;VHM:0.00909091
2023-05-29,2023-05-30,2023-06-12,GVR;HDB;KDH;SSI,4,0.015657845424981814,GVR:-0.00797267;HDB:-0.02657480;KDH:0.01819796;SSI:0.07898089
2023-05-30,2023-05-31,2023-06-13,GVR;HDB;SSI,3,0.02842360613774313,GVR:-0.00282326;HDB:-0.00199601;SSI:0.09009009
2023-05-31,2023-06-01,2023-06-14,GVR;PDR;SSI;VHM,4,0.0740913716498605,GVR:-0.02441794;PDR:0.16052416;SSI:0.09483871;VHM:0.06542056
2023-06-01,2023-06-02,2023-06-15,PDR,1,0.14489311163895485,PDR:0.14489311
2023-06-02,2023-06-05,2023-06-16,PDR,1,0.11207576953433307,PDR:0.11207577
2023-06-05,2023-06-06,2023-06-19,SSI,1,0.09565217391304341,SSI:0.09565217
2023-06-06,2023-06-07,2023-06-20,MBB;STB;TCB;VHM,4,-0.0027179027022505562,MBB:-0.01446655;STB:0.01916376;TCB:-0.01195219;VHM:-0.00361664
2023-06-07,2023-06-08,2023-06-21,SSI;STB,2,0.05343817717159846,SSI:0.06800710;STB:0.03886926
2023-06-08,2023-06-09,2023-06-22,HPG;MBB;STB,3,0.06267054748600684,HPG:0.09025974;MBB:0.01471941;STB:0.08303249
2023-06-09,2023-06-12,2023-06-23,HPG,1,0.0992953235105702,HPG:0.09929532
2023-06-12,2023-06-13,2023-06-26,HPG,1,0.09523809523809527,HPG:0.09523810
2023-06-13,2023-06-14,2023-06-27,HPG;SSI,2,0.09214948783610755,HPG:0.10037879;SSI:0.08392019
2023-06-14,2023-06-15,2023-06-28,HPG;MBB;POW;SSI,4,0.0726117614390992,HPG:0.15637066;MBB:0.04840183;POW:0.00351494;SSI:0.08215962
2023-06-15,2023-06-16,2023-06-29,HPG;KDH;MBB;SSI;TCB,5,0.02980006355070215,HPG:0.10948440;KDH:0.00130095;MBB:0.02270663;SSI:0.01550833;TCB:0.00000000
2023-06-16,2023-06-19,2023-06-30,HPG;KDH;MBB;SSI,4,0.04146752522877695,HPG:0.11553030;KDH:0.00477845;MBB:0.02564103;SSI:0.01992032
2023-06-19,2023-06-20,2023-07-03,MBB;SSI;TCB,3,0.006580375417533639,MBB:0.03035879;SSI:-0.00390625;TCB:-0.00671141
2023-06-20,2023-06-21,2023-07-04,KDH;TCB,2,-0.005951879614812368,KDH:-0.00652742;TCB:-0.00537634
2023-06-21,2023-06-22,2023-07-05,HPG;KDH;TCB,3,0.02173466757675542,HPG:0.09107250;KDH:0.00304083;TCB:-0.02890933
2023-06-22,2023-06-23,2023-07-06,HPG;STB,2,0.02496854403243812,HPG:0.08636093;STB:-0.03642384
2023-06-23,2023-06-26,2023-07-07,HPG;KDH;STB;TCB,4,-0.005255302714983882,HPG:0.08100233;KDH:-0.04142012;STB:-0.01986755;TCB:-0.04073587
2023-06-26,2023-06-27,2023-07-10,HPG;KDH,2,0.027098479678299245,HPG:0.09223584;KDH:-0.03803888
2023-06-27,2023-06-28,2023-07-11,HPG;KDH;TCB,3,-0.005792122320884194,HPG:0.04951622;KDH:-0.03670886;TCB:-0.03018373
2023-06-28,2023-06-29,2023-07-12,HPG;STB,2,0.004162493043962139,HPG:0.01333333;STB:-0.00500835
2023-06-29,2023-06-30,2023-07-13,SSI;TCB,2,0.04582767964346526,SSI:0.11349520;TCB:-0.02183984
2023-06-30,2023-07-03,2023-07-14,HPG;PDR;SSI;TCB,4,0.05889774857483042,HPG:0.04971751;PDR:0.11503176;SSI:0.09397457;TCB:-0.02313285
2023-07-03,2023-07-04,2023-07-17,HPG;MBB;SSI,3,0.07431781144829179,HPG:0.04357668;MBB:0.05892857;SSI:0.12044818
2023-07-04,2023-07-05,2023-07-18,HPG;MBB;TCB;VHM,4,0.02952628681927842,HPG:0.03026906;MBB:0.04309587;TCB:0.00403226;VHM:0.04070796
2023-07-05,2023-07-06,2023-07-19,HPG;KDH;MBB;SSI,4,0.046918229399099176,HPG:0.01871216;KDH:0.04720658;MBB:0.03439153;SSI:0.08736264
2023-07-06,2023-07-07,2023-07-20,MBB;SSI;STB,3,0.02661739163948297,MBB:0.05000000;SSI:0.07280750;STB:-0.04295533
2023-07-07,2023-07-10,2023-07-21,SSI;STB,2,0.021820691880681132,SSI:0.07887628;STB:-0.03523490
2023-07-11,2023-07-12,2023-07-25,MWG,1,0.10845431255337314,MWG:0.10845431
2023-07-12,2023-07-13,2023-07-26,MBB;MWG;PDR;PLX,4,0.04448335008424466,MBB:0.02399314;MWG:0.06924045;PDR:0.11097411;PLX:-0.02627430
2023-07-13,2023-07-14,2023-07-27,HPG;MWG,2,0.07650951364417995,HPG:0.04634678;MWG:0.10667224
2023-07-14,2023-07-17,2023-07-28,KDH,1,0.15917681646367085,KDH:0.15917682
2023-07-17,2023-07-18,2023-07-31,FPT;MBB;MWG,3,0.0723664108197438,FPT:0.08354026;MBB:0.01349073;MWG:0.12006824
2023-07-18,2023-07-19,2023-08-01,FPT;MWG,2,0.0773347863683026,FPT:0.07640129;MWG:0.07826829
2023-07-19,2023-07-20,2023-08-02,HPG;MWG,2,0.04293023918535505,HPG:0.00759219;MWG:0.07826829
2023-07-20,2023-07-21,2023-08-03,HDB;MBB,2,0.01374471682163984,HDB:0.01142857;MBB:0.01606086
2023-07-21,2023-07-24,2023-08-04,HDB;PDR,2,0.027815995311982446,HDB:-0.00842697;PDR:0.06405896
2023-07-24,2023-07-25,2023-08-07,HDB;PDR;VHM,3,0.04447633342823134,HDB:0.01227573;PDR:0.05142538;VHM:0.06972789
2023-07-25,2023-07-26,2023-08-08,FPT;HDB;VHM,3,0.04117718212547052,FPT:0.03692839;HDB:0.00941620;VHM:0.07718696
2023-07-26,2023-07-27,2023-08-09,FPT;HDB;VPB,3,0.006954111961479395,FPT:0.00355390;HDB:0.00564972;VPB:0.01165872
2023-07-27,2023-07-28,2023-08-10,FPT;HDB,2,-0.009211773409377334,FPT:-0.01560665;HDB:-0.00281690
2023-07-28,2023-07-31,2023-08-11,FPT;HDB;MBB,3,-0.012635316192445742,FPT:-0.03192721;HDB:-0.00847458;MBB:0.00249584
2023-07-31,2023-08-01,2023-08-14,HDB,1,-0.025758969641214293,HDB:-0.02575897
2023-08-01,2023-08-02,2023-08-15,FPT;HDB,2,-0.01720104887616038,FPT:-0.00580431;HDB:-0.02859779
2023-08-02,2023-08-03,2023-08-16,ACB,1,-0.0061804697156984814,ACB:-0.00618047
2023-08-03,2023-08-04,2023-08-17,FPT;SSI,2,0.03736114102159412,FPT:0.02368641;SSI:0.05103588
2023-08-04,2023-08-07,2023-08-18,ACB;FPT,2,-0.03143372627319228,ACB:-0.08566330;FPT:0.02279584
2023-08-10,2023-08-11,2023-08-24,GVR;HPG;MBB,3,-0.0518542855704962,GVR:-0.07677357;HPG:-0.03997839;MBB:-0.03881090
2023-08-11,2023-08-14,2023-08-25,STB,1,-0.025078369905956025,STB:-0.02507837
2023-08-14,2023-08-15,2023-08-28,CTG,1,-0.03580433686333824,CTG:-0.03580434
2023-08-15,2023-08-16,2023-08-29,CTG;HPG,2,-0.03187075092375884,CTG:-0.02984320;HPG:-0.03389831
2023-08-16,2023-08-17,2023-08-30,HPG;MBB,2,-0.02996012590716183,HPG:-0.02854123;MBB:-0.03137903
2023-08-17,2023-08-18,2023-08-31,TCB,1,-0.0012515644555694352,TCB:-0.00125156
2023-08-21,2023-08-22,2023-09-06,CTG;FPT;MWG;STB,4,0.08347884551956647,CTG:0.02036660;FPT:0.16057802;MWG:0.12015827;STB:0.03281250
2023-08-22,2023-08-23,2023-09-07,CTG;FPT;GAS;STB,4,0.06717872383163587,CTG:0.03139475;FPT:0.14628608;GAS:0.06299668;STB:0.02803738
2023-08-23,2023-08-24,2023-09-08,FPT,1,0.14158431880771105,FPT:0.14158432
2023-08-24,2023-08-25,2023-09-11,CTG;FPT;STB,3,0.03413680079144948,CTG:0.00461775;FPT:0.08820799;STB:0.00958466
2023-08-25,2023-08-28,2023-09-12,CTG;FPT;TCB,3,0.05277029259808122,CTG:0.04039874;FPT:0.07512797;TCB:0.04278416
2023-08-28,2023-08-29,2023-09-13,KDH,1,-0.00860134629768126,KDH:-0.00860135
2023-08-29,2023-08-30,2023-09-14,MWG;VNM,2,0.056141271226349744,MWG:0.08101852;VNM:0.03126402
2023-08-30,2023-08-31,2023-09-15,MWG;STB,2,0.01761030107934103,MWG:0.03522060;STB:0.00000000
2023-08-31,2023-09-05,2023-09-18,KDH;MWG;STB,3,-0.01615781539881722,KDH:-0.06765023;MWG:0.02223489;STB:-0.00305810
2023-09-05,2023-09-06,2023-09-19,TPB,1,-0.030345800988002804,TPB:-0.03034580
2023-09-06,2023-09-07,2023-09-20,TPB,1,-0.014705882352941112,TPB:-0.01470588
2023-09-07,2023-09-08,2023-09-21,MWG,1,-0.005440900562851766,MWG:-0.00544090
2023-09-08,2023-09-11,2023-09-22,HPG;MWG;PNJ,3,-0.055426447021924084,HPG:-0.05870342;MWG:-0.06615356;PNJ:-0.04142236
2023-09-11,2023-09-12,2023-09-25,HPG;MWG;PNJ,3,-0.058010517376445726,HPG:-0.07135307;MWG:-0.06416510;PNJ:-0.03851338
2023-09-12,2023-09-13,2023-09-26,HPG;MWG,2,-0.08622698029969374,HPG:-0.09044193;MWG:-0.08201203
2023-09-13,2023-09-14,2023-09-27,VNM,1,-0.024207746478873117,VNM:-0.02420775
2023-09-14,2023-09-15,2023-09-28,GAS;VNM,2,-0.016200276455229652,GAS:0.02562092;VNM:-0.05802147
2023-09-15,2023-09-18,2023-09-29,GAS;NVL,2,-0.09249168269884345,GAS:-0.01018200;NVL:-0.17480136
